id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E1248,Epsom Central-North,Auckland-University,OTHER,6,EDUCATION,Epsom Central-North,-36.88779009,174.76992615,Auckland-University,-36.85143057,174.76906469,4.043720350911797,Waitakere,Waitakere,Auckland,Auckland,26
E1585,Mountview,Hilltop (Taupo District),OTHER,6,EDUCATION,Mountview,-38.68673952,176.09245067,Hilltop (Taupo District),-38.69976213,176.09915047,1.5604302378724684,Taupo,Taupo,Waikato,Waikato,2
E6973,Campus South,Campus South,OTHER,9,EDUCATION,Campus South,-45.86793792,170.51211679,Campus South,-45.86793792,170.51211679,0.0,Dunedin,Dunedin,Otago,Otago,8
E10323,St James,Rototuna South,OTHER,6,EDUCATION,St James,-37.73572255,175.28384883,Rototuna South,-37.73648973,175.26994776,1.2253937550198004,Hamilton,Hamilton,Waikato,Waikato,6
E11272,Judea,Bellevue,OTHER,9,EDUCATION,Judea,-37.69516132,176.14345446,Bellevue,-37.67938337,176.1292392,2.1546932504509453,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,2
E11442,Papamoa Beach South,Doncaster,OTHER,6,EDUCATION,Papamoa Beach South,-37.70757761,176.31110176,Doncaster,-37.71059488,176.29681832,1.3005249030690458,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,6
E12558,Taradale South,Tareha Reserve,OTHER,6,EDUCATION,Taradale South,-39.54323393,176.82989073,Tareha Reserve,-39.54400792,176.85143036,1.848959865965352,Hastings,Hastings,Hawke's Bay,Hawke's Bay,2
E12790,Iona,Iona,OTHER,6,EDUCATION,Iona,-39.67719283,176.87643265,Iona,-39.67719283,176.87643265,0.0,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,2
E13536,Stratford Central,Stratford Central,OTHER,6,EDUCATION,Stratford Central,-39.337596399999995,174.28910646,Stratford Central,-39.337596399999995,174.28910646,0.0,Stratford,Stratford,Taranaki,Taranaki,2
E15140,Mount Cook East,Wellington University,OTHER,6,EDUCATION,Mount Cook East,-41.30251481,174.77750144,Wellington University,-41.289084,174.7676253,1.7061956941672174,Wellington,Wellington,Wellington,Wellington,27
E16704,Maungaraki,Maungaraki,OTHER,6,EDUCATION,Maungaraki,-41.20840978,174.87990307,Maungaraki,-41.20840978,174.87990307,0.0,Hutt city,Hutt city,Wellington,Wellington,4
E17492,Motueka West,Motueka West,OTHER,6,EDUCATION,Motueka West,-41.12544913,172.99560963,Motueka West,-41.12544913,172.99560963,0.0,Tasman,Tasman,Nelson,Nelson,2
E17656,Omaio,Grampians,OTHER,6,EDUCATION,Omaio,-41.32459713,173.24438648,Grampians,-41.29660057,173.27351504,3.9509858914837306,Nelson,Nelson,Nelson,Nelson,4
E17968,Witherlea East,Witherlea East,OTHER,9,EDUCATION,Witherlea East,-41.53819682,173.95859480000001,Witherlea East,-41.53819682,173.95859480000001,0.0,Marlborough,Marlborough,Marlborough,Marlborough,2
E18742,Bush Inn,Ilam University,OTHER,21,EDUCATION,Bush Inn,-43.52942223,172.576402,Ilam University,-43.52336127,172.57826459,0.6904752275536294,Christchurch,Christchurch,Canterbury,Canterbury,49
E19085,Pegasus,Pegasus,OTHER,9,EDUCATION,Pegasus,-43.31136296,172.69651389999999,Pegasus,-43.31136296,172.69651389999999,0.0,Waimakariri,Waimakariri,Canterbury,Canterbury,3
