id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E77,Kensington (Whangarei District),Whangarei Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland,51
E1234,Epsom North,Auckland-University,DRIVE_OWN_VEHICLE,21,EDUCATION,Epsom North,-36.87695838,174.77070996,Auckland-University,-36.85143057,174.76906469,2.8423340961769465,Waitakere,Waitakere,Auckland,Auckland,1282
E9219,Hamilton East Village,Hillcrest West (Hamilton City),DRIVE_OWN_VEHICLE,78,EDUCATION,Hamilton East Village,-37.79028168,175.29324653,Hillcrest West (Hamilton City),-37.79546663,175.31326581,1.8511590512379188,Hamilton,Hamilton,Waikato,Waikato,290
E11105,Maungatapu,Greerton South,DRIVE_OWN_VEHICLE,24,EDUCATION,Maungatapu,-37.718326399999995,176.17894876,Greerton South,-37.72765679,176.12518714,4.840964121435191,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,181
E10765,Kuirau,Tihiotonga-Whakarewarewa,DRIVE_OWN_VEHICLE,6,EDUCATION,Kuirau,-38.13474084,176.24242829,Tihiotonga-Whakarewarewa,-38.16412016,176.25173097,3.3665871747797267,Rotorua,Rotorua,Waikato,Bay of Plenty,64
E6962,Belleknowes,Campus South,DRIVE_OWN_VEHICLE,45,EDUCATION,Belleknowes,-45.87481662,170.4813773,Campus South,-45.86793792,170.51211679,2.4997998965907104,Dunedin,Dunedin,Otago,Otago,122
E13206,Frankleigh Park,Spotswood,DRIVE_OWN_VEHICLE,6,EDUCATION,Frankleigh Park,-39.08421237,174.07012898,Spotswood,-39.07096507,174.02427884,4.223011224189596,New Plymouth,New Plymouth,Taranaki,Taranaki,39
E12588,Omahu-Pakowhai,Taradale South,DRIVE_OWN_VEHICLE,12,EDUCATION,Omahu-Pakowhai,-39.56659265,176.82024777,Taradale South,-39.54323393,176.82989073,2.725766180214596,Hastings city,Hastings,Hawke's Bay,Hawke's Bay,81
E13914,Papaioea South,Turitea,DRIVE_OWN_VEHICLE,78,EDUCATION,Papaioea South,-40.35209317,175.62547171,Turitea,-40.39053678,175.60862529,4.506673720996737,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,104
E15055,Korokoro,Wellington University,DRIVE_OWN_VEHICLE,6,EDUCATION,Korokoro,-41.21562751,174.86781402,Wellington University,-41.289084,174.7676253,11.69896927394792,Hutt city,Wellington,Wellington,Wellington,224
E17467,Aldinga,Nelson Central-Trafalgar,DRIVE_OWN_VEHICLE,15,EDUCATION,Aldinga,-41.31388017,173.22157736,Nelson Central-Trafalgar,-41.27273863,173.28210878,6.819280853072526,Nelson,Nelson,Nelson,Nelson,42
E18377,Bryndwr South,Christchurch Central-South,DRIVE_OWN_VEHICLE,24,EDUCATION,Bryndwr South,-43.5066813,172.59635325,Christchurch Central-South,-43.53815861,172.64240289,5.1025847495992105,Christchurch,Christchurch,Canterbury,Canterbury,439
E22001,Richmond (Invercargill City),Invercargill Central,DRIVE_OWN_VEHICLE,66,EDUCATION,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,42
