id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E8,Kaitaia West,Kaitaia East,PASSENGER_IN_VEHICLE,66,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia East,-35.10383477,173.26414302,2.0145612602342093,Far North,Far North,Northland,Northland,22
E61,Whangaruru,Whangarei Central,PASSENGER_IN_VEHICLE,21,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Whangarei Central,-35.72846995,174.32430322,26.543203308528863,Whangarei,Whangarei,Northland,Northland,8
E79,Mairtown,Whangarei Central,PASSENGER_IN_VEHICLE,51,EDUCATION,Mairtown,-35.70451425,174.32430453,Whangarei Central,-35.72846995,174.32430322,2.6637523068437168,Whangarei,Whangarei,Northland,Northland,224
E97,Ruakaka,Whangarei Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,17
E120,Kerikeri South,Kerikeri Central,PASSENGER_IN_VEHICLE,183,EDUCATION,Kerikeri South,-35.24639884,173.9577874,Kerikeri Central,-35.22507309,173.95096304,2.4509780687247784,Far North,Far North,Northland,Northland,51
E148,Kaikohe,Kaikohe,PASSENGER_IN_VEHICLE,189,EDUCATION,Kaikohe,-35.40792422,173.79767516,Kaikohe,-35.40792422,173.79767516,0.0,Far North,Far North,Northland,Northland,14
E1758,One Tree Hill,Mount St John,PASSENGER_IN_VEHICLE,6,EDUCATION,One Tree Hill,-36.90124562,174.78219928,Mount St John,-36.88236812,174.78035947,2.1054491428339417,Waitakere,Waitakere,Auckland,Auckland,4125
E1614,Warkworth East,Maungaturoto,PASSENGER_IN_VEHICLE,21,EDUCATION,Warkworth East,-36.40528692,174.66791942,Maungaturoto,-36.10952458,174.34693916,43.702150001488064,Rodney,Kaipara,Auckland,Northland,28
E3178,Hillcrest West (Hamilton City),Silverdale (Hamilton City),PASSENGER_IN_VEHICLE,27,EDUCATION,Hillcrest West (Hamilton City),-37.79546663,175.31326581,Silverdale (Hamilton City),-37.79128988,175.32912389,1.468795522905234,Hamilton,Waikato,Waikato,Waikato,941
E1582,Taupo Central West,Hilltop (Taupo District),PASSENGER_IN_VEHICLE,9,EDUCATION,Taupo Central West,-38.6847684,176.07304191,Hilltop (Taupo District),-38.69976213,176.09915047,2.8132088075346835,Taupo,Taupo,Waikato,Waikato,75
E5349,Koutu,Western Heights (Rotorua District),PASSENGER_IN_VEHICLE,33,EDUCATION,Koutu,-38.12154784,176.23823269,Western Heights (Rotorua District),-38.12374566,176.22097675,1.5291367949754318,Rotorua,Rotorua,Waikato,Waikato,265
E6962,Belleknowes,Campus South,PASSENGER_IN_VEHICLE,9,EDUCATION,Belleknowes,-45.87481662,170.4813773,Campus South,-45.86793792,170.51211679,2.4997998965907104,Dunedin,Dunedin,Otago,Otago,493
E7018,Ostend,Surfdale,PASSENGER_IN_VEHICLE,84,EDUCATION,Ostend,-36.79263832,175.05220466,Surfdale,-36.79613493,175.02985004,2.0281566758268075,Auckland,Auckland,Auckland,Auckland,16
E8706,Hauraki Plains East,Ngatea,PASSENGER_IN_VEHICLE,39,EDUCATION,Hauraki Plains East,-37.23819335,175.54353689,Ngatea,-37.27899729,175.4915105,6.4642572688625055,Hauraki,Hauraki,Waikato,Waikato,36
E8857,Whitianga North,Whitianga South,PASSENGER_IN_VEHICLE,87,EDUCATION,Whitianga North,-36.82143931,175.6736582,Whitianga South,-36.8336234,175.69356396,2.230356245260785,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,9
E8927,Waihi South,Waihi North,PASSENGER_IN_VEHICLE,54,EDUCATION,Waihi South,-37.397349,175.83752238,Waihi North,-37.38622736,175.83349229,1.2869011390379237,Hauraki,Hauraki,Waikato,Waikato,24
