id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W407,Woodhill-Vinetown,Whangarei Central,BICYCLE,9,EDUCATION,Woodhill-Vinetown,-35.727035,174.30955264,Whangarei Central,-35.72846995,174.32430322,1.3410334340231038,Whangarei,Whangarei,Northland,Northland,7
W3387,Eden Terrace,Wynyard-Viaduct,BICYCLE,6,EDUCATION,Eden Terrace,-36.86462613,174.75964083,Wynyard-Viaduct,-36.843309399999995,174.75788827,2.3754357917413493,Waitakere,Waitakere,Auckland,Auckland,95
W40376,Waitohi (Marlborough District),Waitohi (Marlborough District),BICYCLE,21,EDUCATION,Waitohi (Marlborough District),-41.2943994,173.99961791,Waitohi (Marlborough District),-41.2943994,173.99961791,0.0,Marlborough,Marlborough,Marlborough,Marlborough,3
W23999,Te Puru,Te Puru,BICYCLE,6,EDUCATION,Te Puru,-36.89631822,175.00316112,Te Puru,-36.89631822,175.00316112,0.0,Manukau,Manukau,Auckland,Auckland,2
W24423,Thames South,Thames Central,BICYCLE,15,EDUCATION,Thames South,-37.1491222,175.55903757,Thames Central,-37.14032281,175.54142966,1.842028046834084,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,2
W24444,Whitianga South,Whitianga South,BICYCLE,42,EDUCATION,Whitianga South,-36.8336234,175.69356396,Whitianga South,-36.8336234,175.69356396,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,2
W24619,Te Aroha West,Te Aroha East,BICYCLE,6,EDUCATION,Te Aroha West,-37.55101925,175.70065739,Te Aroha East,-37.53376025,175.70924175,2.0629652053807974,Matamata-Piako,Matamata-Piako,Waikato,Waikato,2
W25164,Whitiora,Hamilton Central,BICYCLE,12,EDUCATION,Whitiora,-37.77756896,175.27048029,Hamilton Central,-37.78938082,175.28203067,1.6599430980910974,Hamilton,Hamilton,Waikato,Waikato,61
W24773,Morrinsville West,Morrinsville West,BICYCLE,9,EDUCATION,Morrinsville West,-37.65791668,175.51913057,Morrinsville West,-37.65791668,175.51913057,0.0,Matamata-Piako,Matamata-Piako,Waikato,Waikato,2
W24868,Tauranga Central,Tauranga Central,BICYCLE,12,EDUCATION,Tauranga Central,-37.67947411,176.16704264,Tauranga Central,-37.67947411,176.16704264,0.0,,,,,51
W26628,Matamata South,Matamata South,BICYCLE,15,EDUCATION,Matamata South,-37.81753128,175.77119821,Matamata South,-37.81753128,175.77119821,0.0,Matamata-Piako,Matamata-Piako,Waikato,Waikato,4
W27393,Monika Reserve,Kawerau Industrial,BICYCLE,9,EDUCATION,Monika Reserve,-38.09544004,176.67500308,Kawerau Industrial,-38.07123027,176.72175918,4.898297050329327,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,2
W27467,Trident,Allandale,BICYCLE,6,EDUCATION,Trident,-37.96899468,176.97770942,Allandale,-37.96801926,176.98635382,0.7654945243660405,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,10
W27589,Te Kuiti West,Te Kuiti East,BICYCLE,9,EDUCATION,Te Kuiti West,-38.33639894,175.16019027,Te Kuiti East,-38.33422954,175.1750142,1.3152632364284378,Waitomo,Waitomo,Waikato,Waikato,2
W27619,Strathmore (South Waikato District),Tokoroa Central,BICYCLE,6,EDUCATION,Strathmore (South Waikato District),-38.23232788,175.86534607,Tokoroa Central,-38.2230221,175.8734232,1.2523987932253329,South Waikato,South Waikato,Waikato,Waikato,4
W27687,Victoria,Rotorua Central,BICYCLE,6,EDUCATION,Victoria,-38.142893900000004,176.24450819999996,Rotorua Central,-38.13568521,176.25424012,1.1691502594876988,Rotorua,Rotorua,Bay of Plenty,Bay of Plenty,20
W27828,Bird Area,Taupo Central West,BICYCLE,15,EDUCATION,Bird Area,-38.69357961,176.0859815,Taupo Central West,-38.6847684,176.07304191,1.490372843323874,Taupo,Taupo,Waikato,Waikato,4
