id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W402,Tikipunga South,Whangarei Central,PUBLIC_BUS,12,EDUCATION,Tikipunga South,-35.69457731,174.33166497,Whangarei Central,-35.72846995,174.32430322,3.8268529249105576,Whangarei,Whangarei,Northland,Northland,8
W1878,Saint Marys Bay,Quay Street-Customs Street,PUBLIC_BUS,9,EDUCATION,Saint Marys Bay,-36.84071817,174.74666884,Quay Street-Customs Street,-36.84601989,174.77646293,2.7160323936307584,Waitakere,Waitakere,Auckland,Auckland,1943
W1708,Te Kuru,Quay Street-Customs Street,PUBLIC_BUS,6,EDUCATION,Te Kuru,-36.60344402,174.48396116,Quay Street-Customs Street,-36.84601989,174.77646293,37.51199994203978,Rodney,Waitakere,Auckland,Auckland,2
W22540,Ostend,Oneroa West,PUBLIC_BUS,6,EDUCATION,Ostend,-36.79263832,175.05220466,Oneroa West,-36.78767524,174.99965402,4.7119956075627565,Auckland,Auckland,Auckland,Auckland,4
W25164,Whitiora,Hamilton Central,PUBLIC_BUS,15,EDUCATION,Whitiora,-37.77756896,175.27048029,Hamilton Central,-37.78938082,175.28203067,1.6599430980910974,Hamilton,Hamilton,Waikato,Waikato,53
W24889,Maungatapu,Tauranga Central,PUBLIC_BUS,9,EDUCATION,Maungatapu,-37.718326399999995,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,31
W27687,Victoria,Rotorua Central,PUBLIC_BUS,9,EDUCATION,Victoria,-38.142893900000004,176.24450819999996,Rotorua Central,-38.13568521,176.25424012,1.1691502594876988,Rotorua,Rotorua,Bay of Plenty,Bay of Plenty,12
W30507,Maraenui,Napier Central,PUBLIC_BUS,9,EDUCATION,Maraenui,-39.51577224,176.90367746,Napier Central,-39.49277802,176.91573492,2.7581829298310208,Hastings,Napier,Hawke's Bay,Hawke's Bay,2
W32064,Blagdon-Lynmouth,New Plymouth Central,PUBLIC_BUS,6,EDUCATION,Blagdon-Lynmouth,-39.07074008,174.04322204,New Plymouth Central,-39.05700192,174.07537454,3.168507117936862,New Plymouth,New Plymouth,Taranaki,Taranaki,4
W33992,Milverton,Turitea,PUBLIC_BUS,15,EDUCATION,Milverton,-40.35969543,175.61983251,Turitea,-40.39053678,175.60862529,3.5583840780259597,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,24
W34992,Pipitea-Kaiwharawhara,Wellington Central,PUBLIC_BUS,39,EDUCATION,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,Wellington Central,-41.2849345,174.77572593,1.3922890254830993,Wellington,Wellington,Wellington,Wellington,528
W35285,Paraparaumu North,Paraparaumu Central,PUBLIC_BUS,9,EDUCATION,Paraparaumu North,-40.89457279999999,175.01141009,Paraparaumu Central,-40.90799495,174.99886348,1.8274082528396631,Kapiti Coast,Kapiti Coast,Wellington,Wellington,6
W39694,Broadgreen-Monaco,Nelson Central-Trafalgar,PUBLIC_BUS,6,EDUCATION,Broadgreen-Monaco,-41.30725889,173.22687972,Nelson Central-Trafalgar,-41.27273863,173.28210878,6.002188396786162,Nelson,Nelson,Nelson,Nelson,2
W44896,Mona Vale,Hornby Central,PUBLIC_BUS,6,EDUCATION,Mona Vale,-43.52638334,172.60669389,Hornby Central,-43.53921804,172.53566342,5.901229788503437,Christchurch,Christchurch,Canterbury,Canterbury,183
W48533,Dunedin Central,Dunedin Central,PUBLIC_BUS,6,EDUCATION,Dunedin Central,-45.87712471,170.50291221,Dunedin Central,-45.87712471,170.50291221,0.0,Dunedin,Dunedin,Otago,Otago,71
W48603,Frankton,Queenstown Central,PUBLIC_BUS,60,EDUCATION,Frankton,-45.01825697,168.74585281,Queenstown Central,-45.0327315,168.65460343,7.3498342948868265,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,23
