id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W0,North Cape,North Cape,OTHER,6,EDUCATION,North Cape,-34.50545276,172.77554997,North Cape,-34.50545276,172.77554997,0.0,Far North,Far North,Northland,Northland,1
W279,Puketona-Waitangi,Puketona-Waitangi,OTHER,6,EDUCATION,Puketona-Waitangi,-35.27991822,174.00095246,Puketona-Waitangi,-35.27991822,174.00095246,0.0,Far North,Far North,Northland,Northland,1
W403,Kensington (Whangarei District),Whangarei Central,OTHER,6,EDUCATION,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland,4
W439,Mataraua Forest,Mataraua Forest,OTHER,6,EDUCATION,Mataraua Forest,-35.54715526,173.80536516,Mataraua Forest,-35.54715526,173.80536516,0.0,Far North,Far North,Northland,Northland,1
W497,Maromaku,Maromaku,OTHER,6,EDUCATION,Maromaku,-35.47825535,174.14132759999995,Maromaku,-35.47825535,174.14132759999995,0.0,Far North,Far North,Northland,Northland,1
W499,Mangakahia-Hukerenui,Mangakahia-Hukerenui,OTHER,24,EDUCATION,Mangakahia-Hukerenui,-35.65301955,174.0023164,Mangakahia-Hukerenui,-35.65301955,174.0023164,0.0,Whangarei,Whangarei,Northland,Northland,1
W666,Maungatapere,Maungatapere,OTHER,12,EDUCATION,Maungatapere,-35.76206371,174.15473729,Maungatapere,-35.76206371,174.15473729,0.0,Whangarei,Whangarei,Northland,Northland,1
W750,Whangaruru,Whangaruru,OTHER,6,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Whangaruru,-35.48991999,174.33501130000005,0.0,Whangarei,Whangarei,Northland,Northland,1
W1016,Bream Bay,Bream Bay,OTHER,9,EDUCATION,Bream Bay,-35.91496801,174.38390319,Bream Bay,-35.91496801,174.38390319,0.0,Whangarei,Whangarei,Northland,Northland,1
W1091,Oakleigh-Mangapai,Oakleigh-Mangapai,OTHER,9,EDUCATION,Oakleigh-Mangapai,-35.89588695,174.21595621,Oakleigh-Mangapai,-35.89588695,174.21595621,0.0,Whangarei,Whangarei,Northland,Northland,1
W1132,Kaipara Coastal,Kaipara Coastal,OTHER,45,EDUCATION,Kaipara Coastal,-35.72900181,173.65124289,Kaipara Coastal,-35.72900181,173.65124289,0.0,Kaipara,Kaipara,Northland,Northland,1
W1138,Ruawai-Matakohe,Ruawai-Matakohe,OTHER,27,EDUCATION,Ruawai-Matakohe,-36.08477059,174.14649781,Ruawai-Matakohe,-36.08477059,174.14649781,0.0,Kaipara,Kaipara,Northland,Northland,1
W1142,Maungaru,Maungaru,OTHER,15,EDUCATION,Maungaru,-35.87696287,173.97089153,Maungaru,-35.87696287,173.97089153,0.0,Kaipara,Kaipara,Northland,Northland,1
W1155,Otamatea (Kaipara District),Otamatea (Kaipara District),OTHER,6,EDUCATION,Otamatea (Kaipara District),-36.20622411,174.32331996,Otamatea (Kaipara District),-36.20622411,174.32331996,0.0,Kaipara,Kaipara,Northland,Northland,1
W1227,Cape Rodney,Cape Rodney,OTHER,12,EDUCATION,Cape Rodney,-36.25433822,174.62638047,Cape Rodney,-36.25433822,174.62638047,0.0,Rodney,Rodney,Auckland,Auckland,1
W1894,Freemans Bay,Quay Street-Customs Street,OTHER,6,EDUCATION,Freemans Bay,-36.85220128,174.7504171,Quay Street-Customs Street,-36.84601989,174.77646293,2.4173388207571787,Waitakere,Waitakere,Auckland,Auckland,28
W1697,Okahukura Peninsula,Okahukura Peninsula,OTHER,15,EDUCATION,Okahukura Peninsula,-36.31614337,174.47831639,Okahukura Peninsula,-36.31614337,174.47831639,0.0,Rodney,Rodney,Auckland,Auckland,1
W2213,Dome Valley-Matakana,Dome Valley-Matakana,OTHER,6,EDUCATION,Dome Valley-Matakana,-36.34097815,174.68669921,Dome Valley-Matakana,-36.34097815,174.68669921,0.0,Rodney,Rodney,Auckland,Auckland,1
W5626,South Head,South Head,OTHER,9,EDUCATION,South Head,-36.59353204,174.31227374,South Head,-36.59353204,174.31227374,0.0,Rodney,Rodney,Auckland,Auckland,1
W6602,Papakura East,Auckland Airport,OTHER,6,EDUCATION,Papakura East,-37.05846123,174.97920854,Auckland Airport,-36.9891029,174.77400859,19.782199241910305,Franklin,Manukau,Auckland,Auckland,1
W8929,Otara Central,East Tamaki,OTHER,9,EDUCATION,Otara Central,-36.95593456,174.87677994,East Tamaki,-36.93823242,174.88712871,2.1726285242983816,Manukau,Manukau,Auckland,Auckland,1
W12670,Barrier Islands,Barrier Islands,OTHER,6,EDUCATION,Barrier Islands,-36.20109801,175.42316367,Barrier Islands,-36.20109801,175.42316367,0.0,Auckland,Auckland,Auckland,Auckland,1
W21560,Marlborough Sounds East,Marlborough Sounds East,OTHER,6,EDUCATION,Marlborough Sounds East,-41.321267799999994,174.04011823,Marlborough Sounds East,-41.321267799999994,174.04011823,0.0,Marlborough,Marlborough,Marlborough,Marlborough,1
W22539,Surfdale,Oneroa West,OTHER,6,EDUCATION,Surfdale,-36.79613493,175.02985004,Oneroa West,-36.78767524,174.99965402,2.8486507206886875,Auckland,Auckland,Auckland,Auckland,2
W23380,Glenbrook,Glenbrook,OTHER,6,EDUCATION,Glenbrook,-37.20183488,174.75527205,Glenbrook,-37.20183488,174.75527205,0.0,Franklin,Franklin,Auckland,Auckland,1
W23555,Aka Aka,Aka Aka,OTHER,9,EDUCATION,Aka Aka,-37.29132737,174.77509206,Aka Aka,-37.29132737,174.77509206,0.0,Franklin,Franklin,Auckland,Auckland,1
W24408,Mangatangi,Mangatangi,OTHER,9,EDUCATION,Mangatangi,-37.1550063,175.17580209,Mangatangi,-37.1550063,175.17580209,0.0,Franklin,Franklin,Waikato,Waikato,1
W24444,Whitianga South,Whitianga South,OTHER,12,EDUCATION,Whitianga South,-36.8336234,175.69356396,Whitianga South,-36.8336234,175.69356396,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,1
W24503,Matatoki-Puriri,Matatoki-Puriri,OTHER,6,EDUCATION,Matatoki-Puriri,-37.23726446,175.66087396,Matatoki-Puriri,-37.23726446,175.66087396,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,1
W24549,Whangamata,Whangamata,OTHER,9,EDUCATION,Whangamata,-37.21349281,175.86658897,Whangamata,-37.21349281,175.86658897,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,1
W24555,Waihi Rural,Waihi Rural,OTHER,9,EDUCATION,Waihi Rural,-37.43661886,175.78432191,Waihi Rural,-37.43661886,175.78432191,0.0,Hauraki,Hauraki,Waikato,Waikato,1
W24577,Hauraki Plains North,Hauraki Plains North,OTHER,21,EDUCATION,Hauraki Plains North,-37.26398219,175.39649071,Hauraki Plains North,-37.26398219,175.39649071,0.0,Hauraki,Hauraki,Waikato,Waikato,1
W24583,Hauraki Plains East,Hauraki Plains East,OTHER,6,EDUCATION,Hauraki Plains East,-37.23819335,175.54353689,Hauraki Plains East,-37.23819335,175.54353689,0.0,Hauraki,Hauraki,Waikato,Waikato,1
W24607,Paeroa Rural,Paeroa Rural,OTHER,12,EDUCATION,Paeroa Rural,-37.39345524,175.57864603,Paeroa Rural,-37.39345524,175.57864603,0.0,Hauraki,Hauraki,Waikato,Waikato,2
W26340,Pukemoremore,Pukemoremore,OTHER,9,EDUCATION,Pukemoremore,-37.79999562,175.42305312,Pukemoremore,-37.79999562,175.42305312,0.0,Waikato,Waikato,Waikato,Waikato,27
W28135,Tauranga South,Mount Maunganui Central,OTHER,6,EDUCATION,Tauranga South,-37.708425899999995,176.15681961,Mount Maunganui Central,-37.66423891,176.19448097,5.926565657882255,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,12
W24919,Rangiriri,Rangiriri,OTHER,6,EDUCATION,Rangiriri,-37.38966720000001,175.09012212,Rangiriri,-37.38966720000001,175.09012212,0.0,Waikato,Waikato,Waikato,Waikato,1
W24944,Huntly Rural,Huntly Rural,OTHER,24,EDUCATION,Huntly Rural,-37.53043725,175.19128309,Huntly Rural,-37.53043725,175.19128309,0.0,Waikato,Waikato,Waikato,Waikato,1
W25230,Te Akau,Te Akau,OTHER,12,EDUCATION,Te Akau,-37.69707947,175.04556188,Te Akau,-37.69707947,175.04556188,0.0,Waikato,Waikato,Waikato,Waikato,1
W25610,Waerenga,Waerenga,OTHER,15,EDUCATION,Waerenga,-37.42381266,175.30852178,Waerenga,-37.42381266,175.30852178,0.0,Waikato,Waikato,Waikato,Waikato,1
W25865,Te Uku,Te Uku,OTHER,9,EDUCATION,Te Uku,-37.88322634,174.93821165,Te Uku,-37.88322634,174.93821165,0.0,Waikato,Waikato,Waikato,Waikato,1
W25870,Whitikahu,Whitikahu,OTHER,48,EDUCATION,Whitikahu,-37.57098670000001,175.31718590000003,Whitikahu,-37.57098670000001,175.31718590000003,0.0,Waikato,Waikato,Waikato,Waikato,1
W26601,Karapiro,Karapiro,OTHER,18,EDUCATION,Karapiro,-37.87109072,175.56894865,Karapiro,-37.87109072,175.56894865,0.0,Waipa,Waipa,Waikato,Waikato,1
W26610,Tahuna-Mangateparu,Tahuna-Mangateparu,OTHER,15,EDUCATION,Tahuna-Mangateparu,-37.52132213,175.46480172,Tahuna-Mangateparu,-37.52132213,175.46480172,0.0,Matamata-Piako,Matamata-Piako,Waikato,Waikato,1
W26681,Mangaiti,Mangaiti,OTHER,21,EDUCATION,Mangaiti,-37.50073616,175.62867197,Mangaiti,-37.50073616,175.62867197,0.0,Matamata-Piako,Matamata-Piako,Waikato,Waikato,1
W26752,Te Poi,Te Poi,OTHER,21,EDUCATION,Te Poi,-37.87153608,175.87306966,Te Poi,-37.87153608,175.87306966,0.0,Matamata-Piako,Matamata-Piako,Waikato,Waikato,1
W26758,Tirau,Tirau,OTHER,36,EDUCATION,Tirau,-37.95916018,175.81429616,Tirau,-37.95916018,175.81429616,0.0,South Waikato,South Waikato,Waikato,Waikato,1
W27158,Otorohanga,Otorohanga,OTHER,9,EDUCATION,Otorohanga,-38.18318495,175.21677363,Otorohanga,-38.18318495,175.21677363,0.0,Otorohanga,Otorohanga,Waikato,Waikato,3
W27230,Pokuru,Pokuru,OTHER,15,EDUCATION,Pokuru,-38.02371113,175.25791046,Pokuru,-38.02371113,175.25791046,0.0,Waipa,Waipa,Waikato,Waikato,1
W27316,Maungatautari,Maungatautari,OTHER,12,EDUCATION,Maungatautari,-37.99001963,175.59740495,Maungatautari,-37.99001963,175.59740495,0.0,Waipa,Waipa,Waikato,Waikato,1
