id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W120,Kerikeri South,Kerikeri Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Kerikeri South,-35.24639884,173.9577874,Kerikeri Central,-35.22507309,173.95096304,2.4509780687247784,Far North,Far North,Northland,Northland,9
W403,Kensington (Whangarei District),Whangarei Central,PASSENGER_IN_VEHICLE,15,EDUCATION,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland,46
W1184,Warkworth East,Warkworth East,PASSENGER_IN_VEHICLE,27,EDUCATION,Warkworth East,-36.40528692,174.66791942,Warkworth East,-36.40528692,174.66791942,0.0,Rodney,Rodney,Auckland,Auckland,8
W4679,Oranga,Penrose,PASSENGER_IN_VEHICLE,18,EDUCATION,Oranga,-36.91207992,174.80030606,Penrose,-36.91999811,174.82258914,2.16786361337214,Waitakere,Waitakere,Auckland,Auckland,485
W24699,Whitiora,Te Rapa South,PASSENGER_IN_VEHICLE,6,EDUCATION,Whitiora,-37.77756896,175.27048029,Te Rapa South,-37.76141322,175.24114614,3.1425026248441603,Hamilton,Hamilton,Waikato,Waikato,79
W24899,Welcome Bay South,Tauranga Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Welcome Bay South,-37.73637425,176.19743547,Tauranga Central,-37.67947411,176.16704264,6.868737965578388,Western Bay of Plenty,,Bay of Plenty,,60
W26395,Leamington West,Cambridge Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Leamington West,-37.90325801,175.47086094,Cambridge Central,-37.89316701,175.47159053,1.1238927120073483,Waipa,Waipa,Waikato,Waikato,8
W26770,Matarawa,Putararu,PASSENGER_IN_VEHICLE,6,EDUCATION,Matarawa,-38.22438631,175.85345651,Putararu,-38.05293796,175.78466514,19.99096624073266,South Waikato,South Waikato,Waikato,Waikato,10
W27523,Mokorua Bush,Whakatane Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Mokorua Bush,-37.96128021,177.00239019999995,Whakatane Central,-37.95356587,176.99232736,1.2305164928925958,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,14
W27674,Western Heights (Rotorua District),Rotorua Central,PASSENGER_IN_VEHICLE,15,EDUCATION,Western Heights (Rotorua District),-38.12374566,176.22097675,Rotorua Central,-38.13568521,176.25424012,3.198056306274101,Rotorua,Rotorua,Waikato,Bay of Plenty,39
