id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W21,Kaitaia West,Kaitaia West,WALK_OR_JOG,27,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia West,-35.12178170000001,173.26717397,0.0,Far North,Far North,Northland,Northland,3
W279,Puketona-Waitangi,Puketona-Waitangi,WALK_OR_JOG,9,EDUCATION,Puketona-Waitangi,-35.27991822,174.00095246,Puketona-Waitangi,-35.27991822,174.00095246,0.0,Far North,Far North,Northland,Northland,14
W408,Whangarei Central,Whangarei Central,WALK_OR_JOG,42,EDUCATION,Whangarei Central,-35.72846995,174.32430322,Whangarei Central,-35.72846995,174.32430322,0.0,Whangarei,Whangarei,Northland,Northland,34
W915,Ruakaka,Ruakaka,WALK_OR_JOG,12,EDUCATION,Ruakaka,-35.87869623,174.45727498,Ruakaka,-35.87869623,174.45727498,0.0,Whangarei,Whangarei,Northland,Northland,3
W1066,Ngunguru,Ngunguru,WALK_OR_JOG,9,EDUCATION,Ngunguru,-35.62462501,174.51474389,Ngunguru,-35.62462501,174.51474389,0.0,Whangarei,Whangarei,Northland,Northland,2
W1130,Mangawhai,Mangawhai,WALK_OR_JOG,9,EDUCATION,Mangawhai,-36.12486297,174.57648718,Mangawhai,-36.12486297,174.57648718,0.0,Kaipara,Kaipara,Northland,Northland,2
W1155,Otamatea (Kaipara District),Otamatea (Kaipara District),WALK_OR_JOG,6,EDUCATION,Otamatea (Kaipara District),-36.20622411,174.32331996,Otamatea (Kaipara District),-36.20622411,174.32331996,0.0,Kaipara,Kaipara,Northland,Northland,2
W1184,Warkworth East,Warkworth East,WALK_OR_JOG,63,EDUCATION,Warkworth East,-36.40528692,174.66791942,Warkworth East,-36.40528692,174.66791942,0.0,Rodney,Rodney,Auckland,Auckland,8
W5123,Mount Eden North East,Eden Terrace,WALK_OR_JOG,9,EDUCATION,Mount Eden North East,-36.86913097,174.76555025,Eden Terrace,-36.86462613,174.75964083,0.7261373227033959,Waitakere,Waitakere,Auckland,Auckland,967
W6115,Helensville,Helensville,WALK_OR_JOG,57,EDUCATION,Helensville,-36.67496915,174.45425272,Helensville,-36.67496915,174.45425272,0.0,Rodney,Rodney,Auckland,Auckland,2
W40375,Waikawa (Marlborough District),Waitohi (Marlborough District),WALK_OR_JOG,9,EDUCATION,Waikawa (Marlborough District),-41.26901239,174.03367332,Waitohi (Marlborough District),-41.2943994,173.99961791,4.008325883869887,Marlborough,Marlborough,Marlborough,Marlborough,4
W22552,Ostend,Ostend,WALK_OR_JOG,45,EDUCATION,Ostend,-36.79263832,175.05220466,Ostend,-36.79263832,175.05220466,0.0,Auckland,Auckland,Auckland,Auckland,7
W23249,Awhitu,Awhitu,WALK_OR_JOG,9,EDUCATION,Awhitu,-37.14989636,174.63216856,Awhitu,-37.14989636,174.63216856,0.0,Franklin,Franklin,Auckland,Auckland,2
W23265,Waiuku Central,Waiuku Central,WALK_OR_JOG,12,EDUCATION,Waiuku Central,-37.25584046,174.72781174,Waiuku Central,-37.25584046,174.72781174,0.0,Franklin,Franklin,Auckland,Auckland,6
W24438,Coromandel,Coromandel,WALK_OR_JOG,60,EDUCATION,Coromandel,-36.75575844,175.49571548,Coromandel,-36.75575844,175.49571548,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,2
W24583,Hauraki Plains East,Hauraki Plains East,WALK_OR_JOG,6,EDUCATION,Hauraki Plains East,-37.23819335,175.54353689,Hauraki Plains East,-37.23819335,175.54353689,0.0,Hauraki,Hauraki,Waikato,Waikato,14
W24444,Whitianga South,Whitianga South,WALK_OR_JOG,129,EDUCATION,Whitianga South,-36.8336234,175.69356396,Whitianga South,-36.8336234,175.69356396,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,3
W24546,Pauanui,Pauanui,WALK_OR_JOG,12,EDUCATION,Pauanui,-37.03385041,175.85488182,Pauanui,-37.03385041,175.85488182,0.0,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,2
W24568,Waihi South,Waihi South,WALK_OR_JOG,30,EDUCATION,Waihi South,-37.397349,175.83752238,Waihi South,-37.397349,175.83752238,0.0,Hauraki,Hauraki,Waikato,Waikato,6
W25827,Silverdale (Hamilton City),Ruakura,WALK_OR_JOG,12,EDUCATION,Silverdale (Hamilton City),-37.79128988,175.32912389,Ruakura,-37.77240012,175.31761726,2.3311944518613,Waikato,Waikato,Waikato,Waikato,160
W24820,Katikati,Katikati,WALK_OR_JOG,90,EDUCATION,Katikati,-37.55213437,175.92548294,Katikati,-37.55213437,175.92548294,0.0,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,3
W29357,Matapihi,Matapihi,WALK_OR_JOG,6,EDUCATION,Matapihi,-37.69819147,176.19717384,Matapihi,-37.69819147,176.19717384,0.0,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,68
W24951,Te Kauwhata,Te Kauwhata,WALK_OR_JOG,36,EDUCATION,Te Kauwhata,-37.4025191,175.14802087,Te Kauwhata,-37.4025191,175.14802087,0.0,Waikato,Waikato,Waikato,Waikato,2
W24961,Huntly East,Huntly East,WALK_OR_JOG,33,EDUCATION,Huntly East,-37.55408564,175.16553246,Huntly East,-37.55408564,175.16553246,0.0,Waikato,Waikato,Waikato,Waikato,2
W27628,Putararu Rural,Putararu Rural,WALK_OR_JOG,12,EDUCATION,Putararu Rural,-38.09657792,175.73244372,Putararu Rural,-38.09657792,175.73244372,0.0,South Waikato,South Waikato,Waikato,Waikato,2
W27408,Thornton-Awakeri,Thornton-Awakeri,WALK_OR_JOG,18,EDUCATION,Thornton-Awakeri,-37.98393622,176.90843855,Thornton-Awakeri,-37.98393622,176.90843855,0.0,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,22
