SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Kaitaia West,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaitaia West,-35.12178170000001,173.26717397,North Cape,-34.50545276,172.77554997,81.92088293451681,Far North,Far North,Northland,Northland,47
Puketona-Waitangi,Kaikohe,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,27,Puketona-Waitangi,-35.27991822,174.00095246,Kaikohe,-35.40792422,173.79767516,23.29239580512797,Far North,Far North,Northland,Northland,167
Kaikohe,Kaitaia East,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24,Kaikohe,-35.40792422,173.79767516,Kaitaia East,-35.10383477,173.26414302,59.077866919855616,Far North,Far North,Northland,Northland,57
Mairtown,Whangarei Central,-999,204,24,21,-999,-999,9,27,-999,-999,285,Mairtown,-35.70451425,174.32430453,Whangarei Central,-35.72846995,174.32430322,2.6637523068437168,Whangarei,Whangarei,Northland,Northland,572
Ruakaka,Whangarei Central,-999,84,30,-999,-999,-999,-999,-999,-999,-999,117,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,48
Richmond (Invercargill City),Invercargill Central,-999,498,99,27,-999,-999,24,66,-999,6,720,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,518
Warkworth East,Wellsford,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Warkworth East,-36.40528692,174.66791942,Wellsford,-36.2928483,174.52152782,18.116400226595395,Rodney,Rodney,Auckland,Auckland,160
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22834
South Head,North Harbour,-999,27,15,-999,-999,-999,-999,-999,-999,-999,42,South Head,-36.59353204,174.31227374,North Harbour,-36.74630474,174.71502975,39.7353608857163,Rodney,Waitakere,Auckland,Auckland,33
Ostend,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,12,Ostend,-36.79263832,175.05220466,Quay Street-Customs Street,-36.84601989,174.77646293,25.252609033378157,Auckland,Waitakere,Auckland,Auckland,86
Huntly East,Penrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Huntly East,-37.55408564,175.16553246,Penrose,-36.91999811,174.82258914,76.76562193753976,Waikato,Waitakere,Waikato,Auckland,52
