id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E47,Ahipara,Tangonge,BICYCLE,6,EDUCATION,Ahipara,-35.15951697,173.16091938,Tangonge,-35.12314727,173.21860407,6.623183400479936,Far North,Far North,Northland,Northland
E77,Kensington (Whangarei District),Whangarei Central,BICYCLE,9,EDUCATION,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland
E118,Riverview,Kerikeri Central,BICYCLE,9,EDUCATION,Riverview,-35.20805962,173.9624342,Kerikeri Central,-35.22507309,173.95096304,2.159835692422412,Far North,Far North,Northland,Northland
E119,Kerikeri Central,Kerikeri Central,BICYCLE,9,EDUCATION,Kerikeri Central,-35.22507309,173.95096304,Kerikeri Central,-35.22507309,173.95096304,0.0,Far North,Far North,Northland,Northland
E120,Kerikeri South,Kerikeri Central,BICYCLE,21,EDUCATION,Kerikeri South,-35.24639884,173.9577874,Kerikeri Central,-35.22507309,173.95096304,2.4509780687247784,Far North,Far North,Northland,Northland
E170,Riverview,Riverview,BICYCLE,9,EDUCATION,Riverview,-35.20805962,173.9624342,Riverview,-35.20805962,173.9624342,0.0,Far North,Far North,Northland,Northland
E709,Whau Valley,Kamo Central,BICYCLE,6,EDUCATION,Whau Valley,-35.70520079,174.29580182,Kamo Central,-35.68486255,174.30491552,2.4066109362938626,Whangarei,Whangarei,Northland,Northland
E769,Hikurangi,Hikurangi,BICYCLE,12,EDUCATION,Hikurangi,-35.59448279999999,174.28716175,Hikurangi,-35.59448279999999,174.28716175,0.0,Whangarei,Whangarei,Northland,Northland
E946,Ngunguru,Ngunguru,BICYCLE,24,EDUCATION,Ngunguru,-35.62462501,174.51474389,Ngunguru,-35.62462501,174.51474389,0.0,Whangarei,Whangarei,Northland,Northland
E1163,Grey Lynn North,Auckland-University,BICYCLE,6,EDUCATION,Grey Lynn North,-36.85879216,174.73576481,Auckland-University,-36.85143057,174.76906469,3.0737950148154867,Waitakere,Waitakere,Auckland,Auckland
