SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Flagstaff East,Flagstaff East,OTHER,6,EDUCATION,Flagstaff East,-37.73415885,175.25375047,Flagstaff East,-37.73415885,175.25375047,0.0,Hamilton,Hamilton
Alexandra North,Alexandra North,OTHER,6,EDUCATION,Alexandra North,-45.24363835,169.38984744,Alexandra North,-45.24363835,169.38984744,0.0,Central Otago,Central Otago
Rutland,Strowan,OTHER,15,EDUCATION,Rutland,-43.50650406,172.62267483,Strowan,-43.50761954,172.60874654,1.1301232505599421,Christchurch,Christchurch
Mission Bay,Auckland-University,OTHER,9,EDUCATION,Mission Bay,-36.855756,174.83237219,Auckland-University,-36.85143057,174.76906469,5.6532766430358645,Waitakere,Waitakere
Mount Roskill White Swan,Lynfield North,OTHER,9,EDUCATION,Mount Roskill White Swan,-36.91484469,174.72598544,Lynfield North,-36.91952771,174.71763043,0.9071169838199424,Waitakere,Waitakere
Omaio,Nayland,OTHER,9,EDUCATION,Omaio,-41.32459713,173.24438648,Nayland,-41.30432817,173.23648616,2.348404298427654,Nelson,Nelson
Karori South,Wellington University,OTHER,6,EDUCATION,Karori South,-41.28902351,174.73328551,Wellington University,-41.289084,174.7676253,2.8691240872878905,Wellington,Wellington
Hereworth,Karanema-St Hill,OTHER,6,EDUCATION,Hereworth,-39.67259367,176.89279269,Karanema-St Hill,-39.66451096,176.88627126,1.0579851379344871,Hastings city,Hastings city
Island Bay West,Newtown West,OTHER,15,EDUCATION,Island Bay West,-41.34095916,174.76904840000003,Newtown West,-41.31289315,174.77608237,3.1755885284352066,Wellington,Wellington
Merivale,Strowan,OTHER,6,EDUCATION,Merivale,-43.51635206,172.61911331,Strowan,-43.50761954,172.60874654,1.2813095396000418,Christchurch,Christchurch
Wairakei ,Motiti,OTHER,12,EDUCATION,Wairakei,-37.73298319,176.35904418,Motiti,-37.71900661,176.34389997,2.046782132429848,Western Bay of Plenty,Western Bay of Plenty
Sandringham East,Balmoral,OTHER,6,EDUCATION,Sandringham East,-36.89314875,174.73825366,Balmoral,-36.88723106,174.7449694,0.8886448072101478,Waitakere,Waitakere
Upper Riccarton,Ilam University,OTHER,9,EDUCATION,Upper Riccarton,-43.53514903,172.5690102,Ilam University,-43.52336127,172.57826459,1.5082008833069298,Christchurch,Christchurch
Lincoln West,Lincoln West,OTHER,9,EDUCATION,Lincoln West,-43.64345571,172.47791199,Lincoln West,-43.64345571,172.47791199,0.0,Selwyn,Selwyn
Heathcote Valley,Heathcote Valley,OTHER,9,EDUCATION,Heathcote Valley,-43.57763059,172.71241055,Heathcote Valley,-43.57763059,172.71241055,0.0,Christchurch,Christchurch
Temuka East,Temuka East,OTHER,9,EDUCATION,Temuka East,-44.24725922,171.29783677,Temuka East,-44.24725922,171.29783677,0.0,Timaru,Timaru
Mount Eden South,Auckland-University,OTHER,9,EDUCATION,Mount Eden South,-36.89582511,174.75448765,Auckland-University,-36.85143057,174.76906469,5.103902298065822,Waitakere,Waitakere
Bromley South,Bromley South,OTHER,6,EDUCATION,Bromley South,-43.53669331,172.68367216,Bromley South,-43.53669331,172.68367216,0.0,Christchurch,Christchurch
Greenlane North,Auckland-University,OTHER,6,EDUCATION,Greenlane North,-36.89157675,174.7929571,Auckland-University,-36.85143057,174.76906469,4.944165357773163,Waitakere,Waitakere
Wesley East,Mount Roskill Central North,OTHER,6,EDUCATION,Wesley East,-36.90326571,174.73405291,Mount Roskill Central North,-36.908804,174.74301108,1.006810322340315,Waitakere,Waitakere
Palm Beach South-Gravatt,Doncaster,OTHER,9,EDUCATION,Palm Beach South-Gravatt,-37.69834431,176.27636175,Doncaster,-37.71059488,176.29681832,2.257071830772833,Western Bay of Plenty,Western Bay of Plenty
Welbourn,Welbourn,OTHER,15,EDUCATION,Welbourn,-39.08571024,174.09311599999995,Welbourn,-39.08571024,174.09311599999995,0.0,New Plymouth,New Plymouth
Remuera West,Auckland-University,OTHER,9,EDUCATION,Remuera West,-36.87008743,174.78592756,Auckland-University,-36.85143057,174.76906469,2.5601651971406114,Waitakere,Waitakere
Island Bay West,Wellington University,OTHER,6,EDUCATION,Island Bay West,-41.34095916,174.76904840000003,Wellington University,-41.289084,174.7676253,5.7694789602843715,Wellington,Wellington
Jellie Park,Ilam University,OTHER,6,EDUCATION,Jellie Park,-43.51329391,172.58360326,Ilam University,-43.52336127,172.57826459,1.1993554851803356,Christchurch,Christchurch
St James,Rototuna South,OTHER,6,EDUCATION,St James,-37.73572255,175.28384883,Rototuna South,-37.73648973,175.26994776,1.2253937550198004,Hamilton,Hamilton
Aro Valley,Wellington University,OTHER,12,EDUCATION,Aro Valley,-41.29574618,174.75986554,Wellington University,-41.289084,174.7676253,0.9844182093280864,Wellington,Wellington
Bishopdale North,Bishopdale North,OTHER,9,EDUCATION,Bishopdale North,-43.48356448,172.58765972,Bishopdale North,-43.48356448,172.58765972,0.0,Christchurch,Christchurch
Mount Roskill Central North,Auckland-University,OTHER,6,EDUCATION,Mount Roskill Central North,-36.908804,174.74301108,Auckland-University,-36.85143057,174.76906469,6.787464484245795,Waitakere,Waitakere
Vivian West,Wellington University,OTHER,6,EDUCATION,Vivian West,-41.2946931,174.77283972,Wellington University,-41.289084,174.7676253,0.7607870048842491,Wellington,Wellington
Malvern,Strowan,OTHER,18,EDUCATION,Malvern,-43.5022149,172.63050731,Strowan,-43.50761954,172.60874654,1.8550781780266847,Christchurch,Christchurch
Northland (Wellington City),Wellington University,OTHER,9,EDUCATION,Northland (Wellington City),-41.27908062,174.76019207,Wellington University,-41.289084,174.7676253,1.2739826145211108,Wellington,Wellington
Strowan,Strowan,OTHER,30,EDUCATION,Strowan,-43.50761954,172.60874654,Strowan,-43.50761954,172.60874654,0.0,Christchurch,Christchurch
Island Bay East,Island Bay East,OTHER,9,EDUCATION,Island Bay East,-41.33666605,174.77592354,Island Bay East,-41.33666605,174.77592354,0.0,Wellington,Wellington
Rolleston Central,Rolleston North East,OTHER,9,EDUCATION,Rolleston Central,-43.60049642,172.37569815,Rolleston North East,-43.59059543,172.39602587,1.9727701817895569,Selwyn,Selwyn
Motueka West,Motueka West,OTHER,6,EDUCATION,Motueka West,-41.12544913,172.99560963,Motueka West,-41.12544913,172.99560963,0.0,Tasman,Tasman
Mountview,Hilltop (Taupo District),OTHER,6,EDUCATION,Mountview,-38.68673952,176.09245067,Hilltop (Taupo District),-38.69976213,176.09915047,1.5604302378724684,Taupo,Taupo
Dargaville,Dargaville,OTHER,6,EDUCATION,Dargaville,-35.93920158,173.86524045,Dargaville,-35.93920158,173.86524045,0.0,Kaipara,Kaipara
Grey Lynn Central,Auckland-University,OTHER,6,EDUCATION,Grey Lynn Central,-36.86209925,174.74622031,Auckland-University,-36.85143057,174.76906469,2.3533680528518532,Waitakere,Waitakere
Hamilton East Cook,Hillcrest West (Hamilton City),OTHER,6,EDUCATION,Hamilton East Cook,-37.7913507,175.30343068,Hillcrest West (Hamilton City),-37.79546663,175.31326581,0.9779112273769848,Hamilton,Hamilton
Prestons,Marshland,OTHER,9,EDUCATION,Prestons,-43.47713961,172.667796,Marshland,-43.46980091,172.64502745,2.01033942712578,Christchurch,Christchurch
Raumanga,Whangarei Central,OTHER,6,EDUCATION,Raumanga,-35.74968804,174.29896302,Whangarei Central,-35.72846995,174.32430322,3.2859201489749075,Whangarei,Whangarei
Epsom Central-North,Auckland-University,OTHER,6,EDUCATION,Epsom Central-North,-36.88779009,174.76992615,Auckland-University,-36.85143057,174.76906469,4.043720350911797,Waitakere,Waitakere
Otahuhu East,Otahuhu South,OTHER,6,EDUCATION,Otahuhu East,-36.93272301,174.86266819999997,Otahuhu South,-36.94719396,174.84996655,1.9655771044363481,Manukau,Manukau
New Windsor South,Auckland-University,OTHER,6,EDUCATION,New Windsor South,-36.90852211,174.71637156,Auckland-University,-36.85143057,174.76906469,7.890905332826708,Waitakere,Waitakere
Eden Terrace,Auckland-University,OTHER,6,EDUCATION,Eden Terrace,-36.86462613,174.75964083,Auckland-University,-36.85143057,174.76906469,1.6899372299842024,Waitakere,Waitakere
Island Bay East,Wellington University,OTHER,6,EDUCATION,Island Bay East,-41.33666605,174.77592354,Wellington University,-41.289084,174.7676253,5.336083383810338,Wellington,Wellington
Ilam North,Jellie Park,OTHER,6,EDUCATION,Ilam North,-43.51329549,172.5691116,Jellie Park,-43.51329391,172.58360326,1.1686101897126049,Christchurch,Christchurch
