SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Royal Heights South,Auckland-University,DRIVE_OWN_VEHICLE,21,EDUCATION,Royal Heights South,-36.83554837,174.62832303,Auckland-University,-36.85143057,174.76906469,12.648031982759214,Waitakere,Waitakere
Raureka,Hastings Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Raureka,-39.64068599,176.82489735,Hastings Central,-39.63962329,176.84642759,1.8473631023326151,Hastings city,Hastings city
Papatoetoe North,Otara Central,DRIVE_OWN_VEHICLE,27,EDUCATION,Papatoetoe North,-36.97093119,174.8493612,Otara Central,-36.95593456,174.87677994,2.9521447140503208,Manukau,Manukau
Saint Johns East,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,Saint Johns East,-36.87546729,174.84608811,Queen Street,-36.84774104,174.76524972,7.8248000994414975,Waitakere,Waitakere
Postgate,Wellington University,DRIVE_OWN_VEHICLE,6,EDUCATION,Postgate,-41.11331454,174.88235004,Wellington University,-41.289084,174.7676253,21.774299574828447,Porirua,Wellington
West End,Highbury East,DRIVE_OWN_VEHICLE,6,EDUCATION,West End,-40.36797536,175.60339294,Highbury East,-40.3613441,175.58624604,1.6291651561925495,Palmerston North,Palmerston North
Strathern,Invercargill Central,DRIVE_OWN_VEHICLE,36,EDUCATION,Strathern,-46.42792492,168.36839384,Invercargill Central,-46.41489239,168.32850731,3.3834376128583057,Invercargill,Invercargill
Takapuna West,Albany Central,DRIVE_OWN_VEHICLE,18,EDUCATION,Takapuna West,-36.78910918,174.76117008,Albany Central,-36.72820186,174.70483518,8.429375150068209,Waitakere,Waitakere
Onerahi,Tarewa,DRIVE_OWN_VEHICLE,18,EDUCATION,Onerahi,-35.76617497,174.363527,Tarewa,-35.7418305,174.30903757,5.612931870096372,Whangarei,Whangarei
Turanga,Auckland-University,DRIVE_OWN_VEHICLE,30,EDUCATION,Turanga,-36.96408816,174.98854671,Auckland-University,-36.85143057,174.76906469,23.18925751746635,Manukau,Waitakere
Weymouth East,Otara Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Weymouth East,-37.03734988,174.87760685,Otara Central,-36.95593456,174.87677994,9.053268382381864,Franklin,Manukau
