SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Royal Heights South,Auckland-University,PASSENGER_IN_VEHICLE,6,EDUCATION,Royal Heights South,-36.83554837,174.62832303,Auckland-University,-36.85143057,174.76906469,12.648031982759214,Waitakere,Waitakere
Raureka,Hastings Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Raureka,-39.64068599,176.82489735,Hastings Central,-39.63962329,176.84642759,1.8473631023326151,Hastings city,Hastings city
Burwood,Parklands,PASSENGER_IN_VEHICLE,6,EDUCATION,Burwood,-43.49555459,172.68488895,Parklands,-43.48059253,172.70806659,2.5028343187843523,Christchurch,Christchurch
Greenhithe South,Takapuna West,PASSENGER_IN_VEHICLE,9,EDUCATION,Greenhithe South,-36.77162145,174.69430513,Takapuna West,-36.78910918,174.76117008,6.2644444681958475,Waitakere,Waitakere
Aro Valley,Kelburn,PASSENGER_IN_VEHICLE,15,EDUCATION,Aro Valley,-41.29574618,174.75986554,Kelburn,-41.28798133,174.76045619,0.8648209610546299,Wellington,Wellington
Karapiro,Cambridge West,PASSENGER_IN_VEHICLE,12,EDUCATION,Karapiro,-37.87109072,175.56894865,Cambridge West,-37.8870045,175.45779762,9.914593799090989,Waipa,Waipa
Pegasus Bay,Woodend,PASSENGER_IN_VEHICLE,36,EDUCATION,Pegasus Bay,-43.35501518,172.69010397,Woodend,-43.32176017,172.66587597,4.184841921937824,Waimakariri,Waimakariri
Browns Bay Central,Murrays Bay West,PASSENGER_IN_VEHICLE,18,EDUCATION,Browns Bay Central,-36.71427585,174.74326307,Murrays Bay West,-36.73177873,174.74174762,1.9509126028233583,Waitakere,Waitakere
Pirimai East,Bledisloe Park,PASSENGER_IN_VEHICLE,39,EDUCATION,Pirimai East,-39.51832585,176.88243344,Bledisloe Park,-39.53439372,176.85652109,2.8515753110430504,Hastings,Hastings
The Brook,Victory,PASSENGER_IN_VEHICLE,15,EDUCATION,The Brook,-41.3006165,173.29144468,Victory,-41.28580137,173.26988584,2.4408882858273904,Nelson,Nelson
Papatoetoe North,Otara Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Papatoetoe North,-36.97093119,174.8493612,Otara Central,-36.95593456,174.87677994,2.9521447140503208,Manukau,Manukau
Fairy Springs,Victoria,PASSENGER_IN_VEHICLE,15,EDUCATION,Fairy Springs,-38.11485248,176.22903822,Victoria,-38.1428939,176.24450819999996,3.3990148043284254,Rotorua,Rotorua
West End,Highbury East,PASSENGER_IN_VEHICLE,6,EDUCATION,West End,-40.36797536,175.60339294,Highbury East,-40.3613441,175.58624604,1.6291651561925495,Palmerston North,Palmerston North
Strathern,Invercargill Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Strathern,-46.42792492,168.36839384,Invercargill Central,-46.41489239,168.32850731,3.3834376128583057,Invercargill,Invercargill
Hillcrest West (Auckland),Northcote South (Auckland),PASSENGER_IN_VEHICLE,18,EDUCATION,Hillcrest West (Auckland),-36.7978865,174.72830919,Northcote South (Auckland),-36.80649304,174.7385397,1.3211892741639868,Waitakere,Waitakere
The Gardens (Auckland),The Gardens (Auckland),PASSENGER_IN_VEHICLE,96,EDUCATION,The Gardens (Auckland),-37.00156996,174.91303846,The Gardens (Auckland),-37.00156996,174.91303846,0.0,Franklin,Franklin
Brunswick-Papaiti,Mowhanau,PASSENGER_IN_VEHICLE,15,EDUCATION,Brunswick-Papaiti,-39.87675408,175.02918802,Mowhanau,-39.84344675,174.90288293,11.399139856372145,Wanganui,Wanganui
Browns Bay South West,Murrays Bay West,PASSENGER_IN_VEHICLE,33,EDUCATION,Browns Bay South West,-36.72178932,174.72994649,Murrays Bay West,-36.73177873,174.74174762,1.5296990377568656,Waitakere,Waitakere
Lynmore,Kuirau,PASSENGER_IN_VEHICLE,9,EDUCATION,Lynmore,-38.14940578,176.28895362,Kuirau,-38.13474084,176.24242829,4.38337282611969,Rotorua,Rotorua
Pine Hill-Dalmore,Arthur Street,PASSENGER_IN_VEHICLE,15,EDUCATION,Pine Hill-Dalmore,-45.84825689,170.51388061,Arthur Street,-45.8757494,170.49272725,3.468211312744484,Dunedin,Dunedin
Saint Johns East,Kohimarama,PASSENGER_IN_VEHICLE,48,EDUCATION,Saint Johns East,-36.87546729,174.84608811,Kohimarama,-36.85773003,174.84092129,2.0251442252406533,Waitakere,Waitakere
Normanby-Tawhiti,Turuturu,PASSENGER_IN_VEHICLE,39,EDUCATION,Normanby-Tawhiti,-39.58187479,174.31137817,Turuturu,-39.57067046,174.2791488,3.0302304003298635,South Taranaki,South Taranaki
Heretaunga,Pinehaven,PASSENGER_IN_VEHICLE,6,EDUCATION,Heretaunga,-41.13877359,175.01905143,Pinehaven,-41.16844867,175.01768274,3.301707515493129,Upper Hutt,Upper Hutt
