SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Royal Heights South,Auckland-University,PUBLIC_BUS,24,EDUCATION,Royal Heights South,-36.83554837,174.62832303,Auckland-University,-36.85143057,174.76906469,12.648031982759214,Waitakere,Waitakere
Greenhithe South,Takapuna West,PUBLIC_BUS,18,EDUCATION,Greenhithe South,-36.77162145,174.69430513,Takapuna West,-36.78910918,174.76117008,6.2644444681958475,Waitakere,Waitakere
Papatoetoe North,Otara Central,PUBLIC_BUS,9,EDUCATION,Papatoetoe North,-36.97093119,174.8493612,Otara Central,-36.95593456,174.87677994,2.9521447140503208,Manukau,Manukau
Hillcrest West (Auckland),Northcote South (Auckland),PUBLIC_BUS,15,EDUCATION,Hillcrest West (Auckland),-36.7978865,174.72830919,Northcote South (Auckland),-36.80649304,174.7385397,1.3211892741639868,Waitakere,Waitakere
Turanga,Auckland-University,PUBLIC_BUS,15,EDUCATION,Turanga,-36.96408816,174.98854671,Auckland-University,-36.85143057,174.76906469,23.18925751746635,Manukau,Waitakere
Weymouth East,Otara Central,PUBLIC_BUS,6,EDUCATION,Weymouth East,-37.03734988,174.87760685,Otara Central,-36.95593456,174.87677994,9.053268382381864,Franklin,Manukau
Millwater South,Albany Central,PUBLIC_BUS,6,EDUCATION,Millwater South,-36.61231012,174.67000848,Albany Central,-36.72820186,174.70483518,13.255630682576806,Rodney,Waitakere
Karori East,Mount Victoria,PUBLIC_BUS,21,EDUCATION,Karori East,-41.28702587,174.747422,Mount Victoria,-41.29882878,174.78763827,3.6071306854137575,Wellington,Wellington
Glen Eden Woodglen,Avondale North (Auckland),PUBLIC_BUS,9,EDUCATION,Glen Eden Woodglen,-36.9174767,174.64329812,Avondale North (Auckland),-36.88954577,174.69562749,5.59427245417664,Waitakere,Waitakere
Kahikatea,Hamilton East Village,PUBLIC_BUS,6,EDUCATION,Kahikatea,-37.80133598,175.25054092,Hamilton East Village,-37.79028168,175.29324653,3.9485751596327696,Hamilton,Hamilton
Prestons,Northlands (Christchurch City),PUBLIC_BUS,6,EDUCATION,Prestons,-43.47713961,172.667796,Northlands (Christchurch City),-43.49209266,172.60688807,5.187637885195522,Christchurch,Christchurch
Weymouth East,Auckland-University,PUBLIC_BUS,12,EDUCATION,Weymouth East,-37.03734988,174.87760685,Auckland-University,-36.85143057,174.76906469,22.81294940726963,Franklin,Waitakere
Freemans Bay,Auckland-University,PUBLIC_BUS,36,EDUCATION,Freemans Bay,-36.85220128,174.7504171,Auckland-University,-36.85143057,174.76906469,1.661418189924384,Waitakere,Waitakere
Birkdale South,Auckland-University,PUBLIC_BUS,81,EDUCATION,Birkdale South,-36.80042176,174.70764062,Auckland-University,-36.85143057,174.76906469,7.877863323490218,Waitakere,Waitakere
Brockville,Forbury,PUBLIC_BUS,6,EDUCATION,Brockville,-45.86689774,170.46160369999996,Forbury,-45.90099334,170.49030599,4.394258208333905,Dunedin,Dunedin
New Lynn North West,Auckland-University,PUBLIC_BUS,15,EDUCATION,New Lynn North West,-36.90794042,174.67168246,Auckland-University,-36.85143057,174.76906469,10.700810225253221,Waitakere,Waitakere
