SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Greenhithe South,Takapuna West,SCHOOL_BUS,15,EDUCATION,Greenhithe South,-36.77162145,174.69430513,Takapuna West,-36.78910918,174.76117008,6.2644444681958475,Waitakere,Waitakere
Karapiro,Cambridge West,SCHOOL_BUS,33,EDUCATION,Karapiro,-37.87109072,175.56894865,Cambridge West,-37.8870045,175.45779762,9.914593799090989,Waipa,Waipa
The Brook,Victory,SCHOOL_BUS,21,EDUCATION,The Brook,-41.3006165,173.29144468,Victory,-41.28580137,173.26988584,2.4408882858273904,Nelson,Nelson
Bell Block East,Spotswood,SCHOOL_BUS,6,EDUCATION,Bell Block East,-39.0162041,174.17002393,Spotswood,-39.07096507,174.02427884,13.98227356249186,New Plymouth,New Plymouth
Hillcrest West (Auckland),Northcote South (Auckland),SCHOOL_BUS,9,EDUCATION,Hillcrest West (Auckland),-36.7978865,174.72830919,Northcote South (Auckland),-36.80649304,174.7385397,1.3211892741639868,Waitakere,Waitakere
Clive,McLean Park,SCHOOL_BUS,18,EDUCATION,Clive,-39.58681014,176.91303792,McLean Park,-39.5083024,176.9160949,8.733596504428673,Hastings city,Hastings
Browns Bay South West,Murrays Bay West,SCHOOL_BUS,6,EDUCATION,Browns Bay South West,-36.72178932,174.72994649,Murrays Bay West,-36.73177873,174.74174762,1.5296990377568656,Waitakere,Waitakere
Matapouri-Tutukaka,Pukenui,SCHOOL_BUS,9,EDUCATION,Matapouri-Tutukaka,-35.59792832,174.47802227,Pukenui,-35.74644668,174.25502298,26.04800717303444,Whangarei,Whangarei
Karori East,Mount Victoria,SCHOOL_BUS,93,EDUCATION,Karori East,-41.28702587,174.747422,Mount Victoria,-41.29882878,174.78763827,3.6071306854137575,Wellington,Wellington
Matamata North,Richmond Downs-Wardville,SCHOOL_BUS,9,EDUCATION,Matamata North,-37.8092195,175.78065623,Richmond Downs-Wardville,-37.71603663,175.7456246,10.809398032597027,Matamata-Piako,Matamata-Piako
Glen Eden Woodglen,Avondale North (Auckland),SCHOOL_BUS,21,EDUCATION,Glen Eden Woodglen,-36.9174767,174.64329812,Avondale North (Auckland),-36.88954577,174.69562749,5.59427245417664,Waitakere,Waitakere
Mandeville-Ohoka,Rangiora North East,SCHOOL_BUS,42,EDUCATION,Mandeville-Ohoka,-43.36686582,172.54447057,Rangiora North East,-43.29742452,172.60089954,8.969541902929308,Waimakariri,Waimakariri
Pirimai East,Mayfair,SCHOOL_BUS,6,EDUCATION,Pirimai East,-39.51832585,176.88243344,Mayfair,-39.64014808,176.86339942,13.643882544300485,Hastings,Hastings city
