id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E334,McLaren Park,Queen Street,TRAIN,9,EDUCATION,McLaren Park,-36.89892389,174.62097855,Queen Street,-36.84774104,174.76524972,14.038574363700187,Waitakere,Waitakere,Auckland,Auckland
E354,Glen Eden Woodglen,Queen Street,TRAIN,9,EDUCATION,Glen Eden Woodglen,-36.9174767,174.64329812,Queen Street,-36.84774104,174.76524972,13.33323779250816,Waitakere,Waitakere,Auckland,Auckland
E395,New Lynn Central South,Queen Street,TRAIN,6,EDUCATION,New Lynn Central South,-36.91380003,174.68227832,Queen Street,-36.84774104,174.76524972,10.412296973210212,Waitakere,Waitakere,Auckland,Auckland
E421,Newmarket,Queen Street,TRAIN,6,EDUCATION,Newmarket,-36.86853889,174.77706299,Queen Street,-36.84774104,174.76524972,2.5402436462150737,Waitakere,Waitakere,Auckland,Auckland
E453,Greenlane North,Queen Street,TRAIN,6,EDUCATION,Greenlane North,-36.89157675,174.7929571,Queen Street,-36.84774104,174.76524972,5.462036702611316,Waitakere,Waitakere,Auckland,Auckland
E521,Otahuhu South West,Queen Street,TRAIN,6,EDUCATION,Otahuhu South West,-36.95216719,174.84005503,Queen Street,-36.84774104,174.76524972,13.381944914964038,Waitakere,Waitakere,Auckland,Auckland
E534,Mangere East,Queen Street,TRAIN,12,EDUCATION,Mangere East,-36.96930074,174.8391719,Queen Street,-36.84774104,174.76524972,15.03003883853008,Manukau,Waitakere,Auckland,Auckland
E541,Papatoetoe North,Queen Street,TRAIN,12,EDUCATION,Papatoetoe North,-36.97093119,174.8493612,Queen Street,-36.84774104,174.76524972,15.60654226663248,Manukau,Waitakere,Auckland,Auckland
E546,Papatoetoe West,Queen Street,TRAIN,12,EDUCATION,Papatoetoe West,-36.98008106,174.84650545,Queen Street,-36.84774104,174.76524972,16.39308960655505,Manukau,Waitakere,Auckland,Auckland
E547,Papatoetoe Central,Queen Street,TRAIN,6,EDUCATION,Papatoetoe Central,-36.97461746,174.85800659,Queen Street,-36.84774104,174.76524972,16.341539771602548,Manukau,Waitakere,Auckland,Auckland
E552,Papatoetoe East,Queen Street,TRAIN,9,EDUCATION,Papatoetoe East,-36.97237736,174.87353637,Queen Street,-36.84774104,174.76524972,16.87488813750573,Manukau,Waitakere,Auckland,Auckland
