id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E0,North Cape,North Cape,WALK_OR_JOG,12,EDUCATION,North Cape,-34.50545276,172.77554997,North Cape,-34.50545276,172.77554997,0.0,Far North,Far North,Northland,Northland
E7,Kaitaia East,Kaitaia East,WALK_OR_JOG,21,EDUCATION,Kaitaia East,-35.10383477,173.26414302,Kaitaia East,-35.10383477,173.26414302,0.0,Far North,Far North,Northland,Northland
E8,Kaitaia West,Kaitaia East,WALK_OR_JOG,24,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia East,-35.10383477,173.26414302,2.0145612602342093,Far North,Far North,Northland,Northland
E18,Kaitaia East,Kaitaia West,WALK_OR_JOG,42,EDUCATION,Kaitaia East,-35.10383477,173.26414302,Kaitaia West,-35.12178170000001,173.26717397,2.0145612602342093,Far North,Far North,Northland,Northland
E19,Kaitaia West,Kaitaia West,WALK_OR_JOG,99,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia West,-35.12178170000001,173.26717397,0.0,Far North,Far North,Northland,Northland
E42,Taumarumaru,Taumarumaru,WALK_OR_JOG,15,EDUCATION,Taumarumaru,-34.99672682,173.50774402,Taumarumaru,-34.99672682,173.50774402,0.0,Far North,Far North,Northland,Northland
E47,Ahipara,Tangonge,WALK_OR_JOG,9,EDUCATION,Ahipara,-35.15951697,173.16091938,Tangonge,-35.12314727,173.21860407,6.623183400479936,Far North,Far North,Northland,Northland
E72,Whau Valley,Whangarei Central,WALK_OR_JOG,21,EDUCATION,Whau Valley,-35.70520079,174.29580182,Whangarei Central,-35.72846995,174.32430322,3.649061931857997,Whangarei,Whangarei,Northland,Northland
E75,Otangarei,Whangarei Central,WALK_OR_JOG,18,EDUCATION,Otangarei,-35.69329776,174.31769963,Whangarei Central,-35.72846995,174.32430322,3.9561543655065967,Whangarei,Whangarei,Northland,Northland
E77,Kensington (Whangarei District),Whangarei Central,WALK_OR_JOG,111,EDUCATION,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland
