id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W120,Kerikeri South,Kerikeri Central,BICYCLE,6,WORK,Kerikeri South,-35.24639884,173.9577874,Kerikeri Central,-35.22507309,173.95096304,2.4509780687247784,Far North,Far North,Northland,Northland
W402,Tikipunga South,Whangarei Central,BICYCLE,6,WORK,Tikipunga South,-35.69457731,174.33166497,Whangarei Central,-35.72846995,174.32430322,3.8268529249105576,Whangarei,Whangarei,Northland,Northland
W403,Kensington (Whangarei District),Whangarei Central,BICYCLE,12,WORK,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland
W405,Mairtown,Whangarei Central,BICYCLE,9,WORK,Mairtown,-35.70451425,174.32430453,Whangarei Central,-35.72846995,174.32430322,2.6637523068437168,Whangarei,Whangarei,Northland,Northland
W407,Woodhill-Vinetown,Whangarei Central,BICYCLE,9,WORK,Woodhill-Vinetown,-35.727035,174.30955264,Whangarei Central,-35.72846995,174.32430322,1.3410334340231038,Whangarei,Whangarei,Northland,Northland
W409,Riverside,Whangarei Central,BICYCLE,12,WORK,Riverside,-35.72599375,174.33964555,Whangarei Central,-35.72846995,174.32430322,1.4120377203750034,Whangarei,Whangarei,Northland,Northland
W410,Raumanga,Whangarei Central,BICYCLE,12,WORK,Raumanga,-35.74968804,174.29896302,Whangarei Central,-35.72846995,174.32430322,3.2859201489749075,Whangarei,Whangarei,Northland,Northland
W629,Maunu-Horahora,Maunu-Horahora,BICYCLE,6,WORK,Maunu-Horahora,-35.73757136,174.29037127,Maunu-Horahora,-35.73757136,174.29037127,0.0,Whangarei,Whangarei,Northland,Northland
W657,Dargaville,Dargaville,BICYCLE,9,WORK,Dargaville,-35.93920158,173.86524045,Dargaville,-35.93920158,173.86524045,0.0,Kaipara,Kaipara,Northland,Northland
W1085,Waipu,Waipu,BICYCLE,12,WORK,Waipu,-36.03330412,174.45082085,Waipu,-36.03330412,174.45082085,0.0,Whangarei,Whangarei,Northland,Northland
W1138,Ruawai-Matakohe,Ruawai-Matakohe,BICYCLE,6,WORK,Ruawai-Matakohe,-36.08477059,174.14649781,Ruawai-Matakohe,-36.08477059,174.14649781,0.0,Kaipara,Kaipara,Northland,Northland
W1329,Unsworth Heights East,North Harbour,BICYCLE,9,WORK,Unsworth Heights East,-36.75603242,174.71977269,North Harbour,-36.74630474,174.71502975,1.1612796366286051,Waitakere,Waitakere,Auckland,Auckland
W1873,Herne Bay,Quay Street-Customs Street,BICYCLE,6,WORK,Herne Bay,-36.84490477,174.73164481,Quay Street-Customs Street,-36.84601989,174.77646293,3.990040002523752,Waitakere,Waitakere,Auckland,Auckland
W1874,Westmere North,Quay Street-Customs Street,BICYCLE,9,WORK,Westmere North,-36.85441266,174.71863306,Quay Street-Customs Street,-36.84601989,174.77646293,5.22957826538489,Waitakere,Waitakere,Auckland,Auckland
W1888,Ponsonby East,Quay Street-Customs Street,BICYCLE,6,WORK,Ponsonby East,-36.85137951,174.74159318,Quay Street-Customs Street,-36.84601989,174.77646293,3.159448792879436,Waitakere,Waitakere,Auckland,Auckland
W1892,Grey Lynn North,Quay Street-Customs Street,BICYCLE,6,WORK,Grey Lynn North,-36.85879216,174.73576481,Quay Street-Customs Street,-36.84601989,174.77646293,3.8897121789117413,Waitakere,Waitakere,Auckland,Auckland
W1894,Freemans Bay,Quay Street-Customs Street,BICYCLE,12,WORK,Freemans Bay,-36.85220128,174.7504171,Quay Street-Customs Street,-36.84601989,174.77646293,2.4173388207571787,Waitakere,Waitakere,Auckland,Auckland
W1898,Mount Albert North,Quay Street-Customs Street,BICYCLE,6,WORK,Mount Albert North,-36.87481471,174.71765308,Quay Street-Customs Street,-36.84601989,174.77646293,6.1340848632712985,Waitakere,Waitakere,Auckland,Auckland
W1904,Grey Lynn Central,Quay Street-Customs Street,BICYCLE,6,WORK,Grey Lynn Central,-36.86209925,174.74622031,Quay Street-Customs Street,-36.84601989,174.77646293,3.230672438921858,Waitakere,Waitakere,Auckland,Auckland
W1939,Parnell West,Quay Street-Customs Street,BICYCLE,9,WORK,Parnell West,-36.85679261,174.77798053,Quay Street-Customs Street,-36.84601989,174.77646293,1.2054586555330555,Waitakere,Waitakere,Auckland,Auckland
W1949,Parnell East,Quay Street-Customs Street,BICYCLE,9,WORK,Parnell East,-36.85621249,174.78751844,Quay Street-Customs Street,-36.84601989,174.77646293,1.5007241746985167,Waitakere,Waitakere,Auckland,Auckland
W1991,Kohimarama,Quay Street-Customs Street,BICYCLE,9,WORK,Kohimarama,-36.85773003,174.84092129,Quay Street-Customs Street,-36.84601989,174.77646293,5.881260511472517,Waitakere,Waitakere,Auckland,Auckland
W2000,Saint Heliers West,Quay Street-Customs Street,BICYCLE,6,WORK,Saint Heliers West,-36.85712066,174.85071062,Quay Street-Customs Street,-36.84601989,174.77646293,6.720682469381951,Waitakere,Waitakere,Auckland,Auckland
W2013,Glendowie North,Quay Street-Customs Street,BICYCLE,9,WORK,Glendowie North,-36.85540475,174.87371093,Quay Street-Customs Street,-36.84601989,174.77646293,8.71565797001864,Waitakere,Waitakere,Auckland,Auckland
W2384,Hillcrest East (Auckland),Takapuna West,BICYCLE,9,WORK,Hillcrest East (Auckland),-36.79435426,174.73620436,Takapuna West,-36.78910918,174.76117008,2.2983500069102214,Waitakere,Waitakere,Auckland,Auckland
W2406,Hauraki,Takapuna West,BICYCLE,6,WORK,Hauraki,-36.80062296,174.77694957,Takapuna West,-36.78910918,174.76117008,1.900864531308892,Waitakere,Waitakere,Auckland,Auckland
W2425,Narrow Neck,Takapuna West,BICYCLE,6,WORK,Narrow Neck,-36.81569367,174.79661047,Takapuna West,-36.78910918,174.76117008,4.323765235822059,Waitakere,Waitakere,Auckland,Auckland
W3320,Point Chevalier West,Wynyard-Viaduct,BICYCLE,9,WORK,Point Chevalier West,-36.86564859,174.70246177,Wynyard-Viaduct,-36.8433094,174.75788827,5.521782526288503,Waitakere,Waitakere,Auckland,Auckland
W3325,Herne Bay,Wynyard-Viaduct,BICYCLE,12,WORK,Herne Bay,-36.84490477,174.73164481,Wynyard-Viaduct,-36.8433094,174.75788827,2.3420277094030584,Waitakere,Waitakere,Auckland,Auckland
W3327,Point Chevalier East,Wynyard-Viaduct,BICYCLE,9,WORK,Point Chevalier East,-36.86700191,174.71414708,Wynyard-Viaduct,-36.8433094,174.75788827,4.699632504410476,Waitakere,Waitakere,Auckland,Auckland
W3330,Saint Marys Bay,Wynyard-Viaduct,BICYCLE,9,WORK,Saint Marys Bay,-36.84071817,174.74666884,Wynyard-Viaduct,-36.8433094,174.75788827,1.0391441851455203,Waitakere,Waitakere,Auckland,Auckland
