SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Balclutha North,Balclutha South,DRIVE_COMPANY_VEHICLE,54,EDUCATION,Balclutha North,-46.23245645,169.75291719999996,Balclutha South,-46.24449018,169.72255412,2.6913939760874017,Clutha,Clutha
Summerland North,Penrose,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Summerland North,-36.87595448,174.61345826,Penrose,-36.91999811,174.82258914,19.230651097413887,Waitakere,Waitakere
Bellevue,Bellevue,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Bellevue,-37.67938337,176.1292392,Bellevue,-37.67938337,176.1292392,0.0,Western Bay of Plenty,Western Bay of Plenty
Cashmere West,Cashmere West,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Cashmere West,-43.57398844,172.62274596,Cashmere West,-43.57398844,172.62274596,0.0,Christchurch,Christchurch
Hauraki,North Harbour,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Hauraki,-36.80062296,174.77694957,North Harbour,-36.74630474,174.71502975,8.179036056024662,Waitakere,Waitakere
Westport Rural,Westport South,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Westport Rural,-41.78172508,171.64675725,Westport South,-41.76073382,171.60950019,3.8722892356272216,Buller,Buller
Rolleston North West,Hornby Central,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Rolleston North West,-43.60086348,172.36340669999996,Hornby Central,-43.53921804,172.53566342,15.47830930782951,Selwyn,Christchurch
Takanini South,Newmarket,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Takanini South,-37.04157360000001,174.93888309,Newmarket,-36.86853889,174.77706299,24.019769457668644,Franklin,Waitakere
Cockle Bay,Newmarket,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Cockle Bay,-36.89765568,174.94328238,Newmarket,-36.86853889,174.77706299,15.134016728996425,Manukau,Waitakere
Te Marua,Upper Hutt Central,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Te Marua,-41.08870706,175.14335145,Upper Hutt Central,-41.12711172,175.07626489999996,7.058912500765555,Upper Hutt,Upper Hutt
Papakura Kelvin,Manukau Central,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Papakura Kelvin,-37.05933436,174.96239449,Manukau Central,-36.99138991,174.86947528,11.18583672414509,Franklin,Manukau
Point Chevalier West,Ellerslie West,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Point Chevalier West,-36.86564859,174.70246177,Ellerslie West,-36.89897117,174.80612464,9.936616662214359,Waitakere,Waitakere
Bethlehem North,Tauriko,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Bethlehem North,-37.69058759,176.10753065,Tauriko,-37.75604256,176.09165915,7.410918552738838,Western Bay of Plenty,Western Bay of Plenty
New Windsor South,North Harbour,DRIVE_COMPANY_VEHICLE,6,EDUCATION,New Windsor South,-36.90852211,174.71637156,North Harbour,-36.74630474,174.71502975,18.038143921303238,Waitakere,Waitakere
Waiorohi,Tauranga Central,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Waiorohi,-37.87712037,176.14775568,Tauranga Central,-37.67947411,176.16704264,22.042533542392874,Western Bay of Plenty,
Rolleston South East,Rolleston Izone,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Rolleston South East,-43.61058176,172.40183653,Rolleston Izone,-43.58400200000001,172.37100014,3.860234293418813,Selwyn,Selwyn
Wilkes Park,Brightwater,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Wilkes Park,-41.34753186,173.18668242,Brightwater,-41.37680724,173.09986171,7.943453815740062,Tasman,Tasman
Pokeno,Pukekohe Central,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Pokeno,-37.24416888,175.02021530000005,Pukekohe Central,-37.20891954,174.91332549999996,10.243456594540042,Franklin,Franklin
Mangapapa South,Hexton,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Mangapapa South,-38.64907911,178.0142546,Hexton,-38.62021616,177.96813152,5.133231282808786,Gisborne,Gisborne
Oaklands West,Sydenham Central,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Oaklands West,-43.56943685,172.54947090000005,Sydenham Central,-43.54360725,172.6376644,7.6652659322456,Christchurch,Christchurch
Fraser Street,Te Awamutu North,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Fraser Street,-38.02172341,175.32426247,Te Awamutu North,-37.99873125,175.32167082,2.566674305969524,Waipa,Waipa
Papanui North,Middleton,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Papanui North,-43.48926229,172.5969871,Middleton,-43.54208461,172.58331091,5.9762073741935575,Christchurch,Christchurch
Mangere Bridge,Auckland Airport,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Mangere Bridge,-36.94356976,174.78854005,Auckland Airport,-36.9891029,174.77400859,5.2250612876655405,Manukau,Manukau
Helensburgh,Dunedin Central,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Helensburgh,-45.84936353,170.48340641,Dunedin Central,-45.87712471,170.50291221,3.436606269826786,Dunedin,Dunedin
