SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Narrow Neck,Queen Street,FERRY,42,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Queen Street,-36.84774104,174.76524972,4.526467756191778,Waitakere,Waitakere
Diamond Harbour,Lyttelton,FERRY,9,EDUCATION,Diamond Harbour,-43.63070411,172.73508181,Lyttelton,-43.6070273,172.70649172,3.4968706670534098,Christchurch,Christchurch
Gulf Harbour North,Queen Street,FERRY,12,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Queen Street,-36.84774104,174.76524972,26.6163700337956,Rodney,Waitakere
Narrow Neck,Parnell West,FERRY,12,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Parnell West,-36.85679261,174.77798053,4.861452245775321,Waitakere,Waitakere
Surfdale,Newmarket,FERRY,12,EDUCATION,Surfdale,-36.79613493,175.02985004,Newmarket,-36.86853889,174.77706299,23.895096357044874,Auckland,Waitakere
Narrow Neck,Grafton,FERRY,6,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Grafton,-36.86013178,174.76828549,5.547111704618014,Waitakere,Waitakere
Bayswater,Auckland-University,FERRY,12,EDUCATION,Bayswater,-36.81411659,174.77797900000004,Auckland-University,-36.85143057,174.76906469,4.224295217193677,,Waitakere
Devonport,Queen Street South West,FERRY,6,EDUCATION,Devonport,-36.82716648,174.79688282,Queen Street South West,-36.85433303,174.76134796,4.373203024956712,Waitakere,Waitakere
Eastbourne,Courtenay,FERRY,6,EDUCATION,Eastbourne,-41.30031562,174.89432219999995,Courtenay,-41.29206034,174.78280365,9.361555357728774,Hutt city,Wellington
Tindalls-Matakatia,Quay Street-Customs Street,FERRY,6,EDUCATION,Tindalls-Matakatia,-36.61663904,174.77704003,Quay Street-Customs Street,-36.84601989,174.77646293,25.506038639502037,Rodney,Waitakere
Hobsonville Point,Shortland Street,FERRY,21,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Shortland Street,-36.84736853,174.76823915,11.016651431498218,Waitakere,Waitakere
Ostend,Wynyard-Viaduct,FERRY,12,EDUCATION,Ostend,-36.79263832,175.05220466,Wynyard-Viaduct,-36.8433094,174.75788827,26.797980392383998,Auckland,Waitakere
Bayswater,Hobson Ridge North,FERRY,15,EDUCATION,Bayswater,-36.81411659,174.77797900000004,Hobson Ridge North,-36.84707104,174.76276914,3.906418114744321,,Waitakere
Stanley Point,Wynyard-Viaduct,FERRY,27,EDUCATION,Stanley Point,-36.82656718,174.7841077,Wynyard-Viaduct,-36.8433094,174.75788827,2.985077401445424,,Waitakere
Devonport,Newmarket,FERRY,9,EDUCATION,Devonport,-36.82716648,174.79688282,Newmarket,-36.86853889,174.77706299,4.926863606165243,Waitakere,Waitakere
Beach Haven West,Quay Street-Customs Street,FERRY,9,EDUCATION,Beach Haven West,-36.79327636,174.68619139,Quay Street-Customs Street,-36.84601989,174.77646293,9.948103897400348,Waitakere,Waitakere
Surfdale,Hobson Ridge North,FERRY,12,EDUCATION,Surfdale,-36.79613493,175.02985004,Hobson Ridge North,-36.84707104,174.76276914,24.438805586523586,Auckland,Waitakere
Cheltenham,Newmarket,FERRY,6,EDUCATION,Cheltenham,-36.82539766,174.80659852,Newmarket,-36.86853889,174.77706299,5.469844672339198,Waitakere,Waitakere
Cheltenham,Symonds Street East,FERRY,9,EDUCATION,Cheltenham,-36.82539766,174.80659852,Symonds Street East,-36.85691,174.76641149,5.00674032945149,Waitakere,Waitakere
Ostend,Auckland-University,FERRY,12,EDUCATION,Ostend,-36.79263832,175.05220466,Auckland-University,-36.85143057,174.76906469,26.036816218688504,Auckland,Waitakere
Eastern Beach,Hobson Ridge North,FERRY,6,EDUCATION,Eastern Beach,-36.87674433,174.91349074,Hobson Ridge North,-36.84707104,174.76276914,13.808969191495507,Manukau,Waitakere
Waiheke East,Wynyard-Viaduct,FERRY,6,EDUCATION,Waiheke East,-36.79798055,175.12796937,Wynyard-Viaduct,-36.8433094,174.75788827,33.32547234331552,Auckland,Waitakere
Devonport,Auckland-University,FERRY,18,EDUCATION,Devonport,-36.82716648,174.79688282,Auckland-University,-36.85143057,174.76906469,3.6616840069699945,Waitakere,Waitakere
