id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W0,North Cape,North Cape,PASSENGER_IN_VEHICLE,9,WORK,North Cape,-34.50545276,172.77554997,North Cape,-34.50545276,172.77554997,0.0,Far North,Far North,Northland,Northland
W4,Rangaunu Harbour,Rangaunu Harbour,PASSENGER_IN_VEHICLE,15,WORK,Rangaunu Harbour,-34.91627744,173.13744282,Rangaunu Harbour,-34.91627744,173.13744282,0.0,Far North,Far North,Northland,Northland
W9,Kaitaia West,Rangaunu Harbour,PASSENGER_IN_VEHICLE,6,WORK,Kaitaia West,-35.12178170000001,173.26717397,Rangaunu Harbour,-34.91627744,173.13744282,25.72425126898446,Far North,Far North,Northland,Northland
W20,Kaitaia East,Kaitaia West,PASSENGER_IN_VEHICLE,6,WORK,Kaitaia East,-35.10383477,173.26414302,Kaitaia West,-35.12178170000001,173.26717397,2.0145612602342093,Far North,Far North,Northland,Northland
W21,Kaitaia West,Kaitaia West,PASSENGER_IN_VEHICLE,6,WORK,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia West,-35.12178170000001,173.26717397,0.0,Far North,Far North,Northland,Northland
W31,Rangaunu Harbour,Kaitaia East,PASSENGER_IN_VEHICLE,9,WORK,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia East,-35.10383477,173.26414302,23.834850779788407,Far North,Far North,Northland,Northland
W34,Ahipara,Kaitaia East,PASSENGER_IN_VEHICLE,6,WORK,Ahipara,-35.15951697,173.16091938,Kaitaia East,-35.10383477,173.26414302,11.245083253119619,Far North,Far North,Northland,Northland
W35,Kaitaia East,Kaitaia East,PASSENGER_IN_VEHICLE,21,WORK,Kaitaia East,-35.10383477,173.26414302,Kaitaia East,-35.10383477,173.26414302,0.0,Far North,Far North,Northland,Northland
W36,Kaitaia West,Kaitaia East,PASSENGER_IN_VEHICLE,21,WORK,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia East,-35.10383477,173.26414302,2.0145612602342093,Far North,Far North,Northland,Northland
W37,Rangitihi,Kaitaia East,PASSENGER_IN_VEHICLE,6,WORK,Rangitihi,-35.12785001,173.31122240000005,Kaitaia East,-35.10383477,173.26414302,5.046571525371737,Far North,Far North,Northland,Northland
W40,Herekino-Takahue,Kaitaia East,PASSENGER_IN_VEHICLE,6,WORK,Herekino-Takahue,-35.18964254,173.37240745,Kaitaia East,-35.10383477,173.26414302,13.708926972266053,Far North,Far North,Northland,Northland
W62,Taumarumaru,Taumarumaru,PASSENGER_IN_VEHICLE,18,WORK,Taumarumaru,-34.99672682,173.50774402,Taumarumaru,-34.99672682,173.50774402,0.0,Far North,Far North,Northland,Northland
W64,Taemaro-Oruaiti,Taumarumaru,PASSENGER_IN_VEHICLE,6,WORK,Taemaro-Oruaiti,-35.02535123,173.57890377,Taumarumaru,-34.99672682,173.50774402,7.220173614004296,Far North,Far North,Northland,Northland
W87,Ngapuhi,Kaikohe,PASSENGER_IN_VEHICLE,12,WORK,Ngapuhi,-35.4228326,173.76534835,Kaikohe,-35.40792422,173.79767516,3.365998696020072,Far North,Far North,Northland,Northland
W88,Kaikohe,Kaikohe,PASSENGER_IN_VEHICLE,27,WORK,Kaikohe,-35.40792422,173.79767516,Kaikohe,-35.40792422,173.79767516,0.0,Far North,Far North,Northland,Northland
W112,Lake Manuwai-Kapiro,Kerikeri Central,PASSENGER_IN_VEHICLE,12,WORK,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kerikeri Central,-35.22507309,173.95096304,9.095869218805976,Far North,Far North,Northland,Northland
W115,Waipapa,Kerikeri Central,PASSENGER_IN_VEHICLE,9,WORK,Waipapa,-35.2099338,173.91841396,Kerikeri Central,-35.22507309,173.95096304,3.4024744549091137,Far North,Far North,Northland,Northland
W116,Puketotara,Kerikeri Central,PASSENGER_IN_VEHICLE,12,WORK,Puketotara,-35.25176279999999,173.90330753,Kerikeri Central,-35.22507309,173.95096304,5.247814723970481,Far North,Far North,Northland,Northland
W118,Riverview,Kerikeri Central,PASSENGER_IN_VEHICLE,12,WORK,Riverview,-35.20805962,173.9624342,Kerikeri Central,-35.22507309,173.95096304,2.159835692422412,Far North,Far North,Northland,Northland
