id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W1792,Swanson Rural,Quay Street-Customs Street,TRAIN,9,WORK,Swanson Rural,-36.881095,174.57106823,Quay Street-Customs Street,-36.84601989,174.77646293,18.68418946323501,Waitakere,Waitakere,Auckland,Auckland
W1801,Swanson,Quay Street-Customs Street,TRAIN,6,WORK,Swanson,-36.86489607,174.58462975,Quay Street-Customs Street,-36.84601989,174.77646293,17.196497445633494,Waitakere,Waitakere,Auckland,Auckland
W1811,Ranui North,Quay Street-Customs Street,TRAIN,9,WORK,Ranui North,-36.86005874,174.60220592,Quay Street-Customs Street,-36.84601989,174.77646293,15.583001438574215,Waitakere,Waitakere,Auckland,Auckland
W1818,Ranui Domain,Quay Street-Customs Street,TRAIN,9,WORK,Ranui Domain,-36.86589923,174.60427343,Quay Street-Customs Street,-36.84601989,174.77646293,15.478720987693114,Waitakere,Waitakere,Auckland,Auckland
W1821,Ranui South West,Quay Street-Customs Street,TRAIN,9,WORK,Ranui South West,-36.87146189,174.59392367,Quay Street-Customs Street,-36.84601989,174.77646293,16.484882610253905,Waitakere,Waitakere,Auckland,Auckland
W1822,Henderson Larnoch,Quay Street-Customs Street,TRAIN,6,WORK,Henderson Larnoch,-36.85924837,174.61797776,Quay Street-Customs Street,-36.84601989,174.77646293,14.177891634436008,Waitakere,Waitakere,Auckland,Auckland
W1829,Ranui South East,Quay Street-Customs Street,TRAIN,9,WORK,Ranui South East,-36.87189045,174.6046809,Quay Street-Customs Street,-36.84601989,174.77646293,15.551592223610866,Waitakere,Waitakere,Auckland,Auckland
W1838,Summerland South,Quay Street-Customs Street,TRAIN,12,WORK,Summerland South,-36.88167753,174.6052759,Quay Street-Customs Street,-36.84601989,174.77646293,15.736981624869133,Waitakere,Waitakere,Auckland,Auckland
W1839,Summerland North,Quay Street-Customs Street,TRAIN,12,WORK,Summerland North,-36.87595448,174.61345826,Quay Street-Customs Street,-36.84601989,174.77646293,14.879017844492646,Waitakere,Waitakere,Auckland,Auckland
W1845,Henderson North,Quay Street-Customs Street,TRAIN,12,WORK,Henderson North,-36.87606154,174.62534230000003,Quay Street-Customs Street,-36.84601989,174.77646293,13.85341100038155,Waitakere,Waitakere,Auckland,Auckland
W1847,Western Heights (Auckland),Quay Street-Customs Street,TRAIN,12,WORK,Western Heights (Auckland),-36.88738067,174.61313879,Quay Street-Customs Street,-36.84601989,174.77646293,15.239788122776275,Waitakere,Waitakere,Auckland,Auckland
W1860,McLaren Park,Quay Street-Customs Street,TRAIN,21,WORK,McLaren Park,-36.89892389,174.62097855,Quay Street-Customs Street,-36.84601989,174.77646293,15.029850658645694,Waitakere,Waitakere,Auckland,Auckland
W1862,Te Atatu South-McLeod South,Quay Street-Customs Street,TRAIN,6,WORK,Te Atatu South-McLeod South,-36.88084491,174.65012599,Quay Street-Customs Street,-36.84601989,174.77646293,11.887753329686324,Waitakere,Waitakere,Auckland,Auckland
W1865,Glendene North,Quay Street-Customs Street,TRAIN,6,WORK,Glendene North,-36.89209039,174.64903698,Quay Street-Customs Street,-36.84601989,174.77646293,12.439246623146438,Waitakere,Waitakere,Auckland,Auckland
W1866,Sunnyvale West-Parrs Park,Quay Street-Customs Street,TRAIN,12,WORK,Sunnyvale West-Parrs Park,-36.9037139,174.63073132,Quay Street-Customs Street,-36.84601989,174.77646293,14.463444360079446,Waitakere,Waitakere,Auckland,Auckland
W1867,Sunnyvale East,Quay Street-Customs Street,TRAIN,21,WORK,Sunnyvale East,-36.89955638,174.64253379,Quay Street-Customs Street,-36.84601989,174.77646293,13.317871756332627,Waitakere,Waitakere,Auckland,Auckland
W1871,Glendene South,Quay Street-Customs Street,TRAIN,6,WORK,Glendene South,-36.89691229,174.65416828,Quay Street-Customs Street,-36.84601989,174.77646293,12.262470662318668,Waitakere,Waitakere,Auckland,Auckland
W1872,Glen Eden West,Quay Street-Customs Street,TRAIN,12,WORK,Glen Eden West,-36.91301994,174.62881821,Quay Street-Customs Street,-36.84601989,174.77646293,15.098298193481064,Waitakere,Waitakere,Auckland,Auckland
W1876,Oratia,Quay Street-Customs Street,TRAIN,12,WORK,Oratia,-36.94487953,174.61183121,Quay Street-Customs Street,-36.84601989,174.77646293,18.30766750735696,Waitakere,Waitakere,Auckland,Auckland
W1877,Glen Eden Rosier,Quay Street-Customs Street,TRAIN,15,WORK,Glen Eden Rosier,-36.91539926,174.63643274,Quay Street-Customs Street,-36.84601989,174.77646293,14.650474411204948,Waitakere,Waitakere,Auckland,Auckland
W1881,Kelston North,Quay Street-Customs Street,TRAIN,6,WORK,Kelston North,-36.89579137,174.66634449,Quay Street-Customs Street,-36.84601989,174.77646293,11.250859931270918,Waitakere,Waitakere,Auckland,Auckland
W1882,Avondale Rosebank ,Quay Street-Customs Street,TRAIN,9,WORK,Avondale Rosebank,-36.88903628,174.67969557,Quay Street-Customs Street,-36.84601989,174.77646293,9.847935447594892,Waitakere,Waitakere,Auckland,Auckland
W1884,Glen Eden North,Quay Street-Customs Street,TRAIN,12,WORK,Glen Eden North,-36.90768225,174.6570296,Quay Street-Customs Street,-36.84601989,174.77646293,12.643868543507926,Waitakere,Waitakere,Auckland,Auckland
W1885,Glen Eden Woodglen,Quay Street-Customs Street,TRAIN,12,WORK,Glen Eden Woodglen,-36.9174767,174.64329812,Quay Street-Customs Street,-36.84601989,174.77646293,14.262275556214412,Waitakere,Waitakere,Auckland,Auckland
