SA2_name_usual_residence_address,number_of_commutes_departing,number_of_commutes_arriving,number_of_people_commuting,average_distance_of_departing_commute,average_distance_of_arriving_commute,total_bicycle_count,total_bus_count,total_ferry_count,total_home_count,total_other_count,total_own_vehicle_count,total_passenger_count,total_train_count,total_walk_or_jog_count,education_bicycle_count,education_bus_count,education_ferry_count,education_home_count,education_other_count,education_own_vehicle_count,education_passenger_count,education_train_count,education_walk_or_jog_count,work_bicycle_count,work_bus_count,work_ferry_count,work_home_count,work_other_count,work_own_vehicle_count,work_passenger_count,work_train_count,work_walk_or_jog_count,common_destination_1,common_destination_2,common_destination_3,common_arrival_1,common_arrival_2,common_arrival_3,bicycle_distance,bus_distance,ferry_distance,home_distance,other_distance,own_vehicle_distance,passenger_distance,train_distance,walk_or_jog_distance
New Lynn South,112,35,2070,7.438045845554648,2.3859755062179215,0,0,0,0,6,0,0,0,126,0,0,0,0,6,0,0,0,126,0,0,0,0,0,0,0,0,0,7,5,4,7,2,2,0.0,4.7783953276976465,0.0,0.0,0.0,0.0,0.0,9.486216751633817,0.732409265751687
Morningside (Auckland),112,65,2058,4.472762003423478,3.976504829529707,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,8,6,5,6,4,3,3.5577081127718304,3.975575529913741,0.0,0.0,3.7689520178835005,0.0,0.0,4.20978464192394,1.0886636715740634
Greenlane North,111,99,2475,4.58275087451788,6.2840587667414125,9,0,0,0,0,0,0,0,192,9,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,7,6,6,7,3,2,2.197666463723339,4.377375441428859,0.0,0.0,4.944165357773163,0.0,0.0,5.52401137591876,1.3464890418691966
Eden Terrace,109,428,2334,3.8472681016195835,10.267682902841484,18,0,15,0,0,0,0,90,399,18,0,15,0,0,0,0,90,399,0,0,0,0,0,0,0,0,0,7,7,6,5,3,3,1.8934899440163675,1.8163307122419294,0.0,0.0,1.6899372299842024,0.0,0.0,3.702000707921801,1.3361499147943605
Kingsland,108,46,1809,3.763536813345248,3.822953994762863,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,7,5,5,4,2,1,2.5616009415063252,2.8214681572261053,0.0,0.0,8.64005381110043,0.0,0.0,3.230607693931627,2.005787658290546
Mount Roskill White Swan,106,8,1962,6.325787952869957,0.5022871552807202,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,5,4,5,1,1,0.0,4.625172285282186,0.0,0.0,0.9071169838199424,0.0,0.0,0.0,0.7328702662969835
Sunnyvale East,106,15,1821,8.601158968109425,1.625815341321139,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,8,5,5,5,2,2,0.0,5.523357771613609,0.0,0.0,1.6102447896284608,0.0,0.0,10.690115387685095,1.561875705438442
One Tree Hill,105,12,2082,5.250410845472482,0.8817046473325156,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,6,4,4,6,2,2,5.661046898364778,4.548648681104465,0.0,0.0,0.0,0.0,0.0,6.746770622375623,1.5737357863696646
Birkdale South,104,15,2427,6.6677660145196676,1.494049398183724,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,4,4,5,1,1,0.0,5.213388184528241,7.347030381602467,0.0,0.0,0.0,0.0,0.0,0.8248733769486302
Linwood West,104,21,2082,3.826668385047773,3.0665254267854216,6,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,9,6,6,6,1,1,2.5176132638919206,3.350173539890065,0.0,0.0,0.0,0.0,0.0,0.0,1.3194574082521902
