Name,Commute_distance_total,Commute_distance_average,Number_of_pax,Number_of_destinations,Bicycle,Ferry,Public_bus,School_bus,Train,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Other,Study_at_home,Walk_or_jog
Auckland,49502.79253559996,6.294861716124105,253047,7864,-7671870,-7826538,,,-7446204,-6539589,-3661512,-7828983,-7317204,-6435144
Bay of Plenty,10440.115377267211,9.757117175016086,40461,1070,-958518,-1068930,,,-1068930,-821682,-431493,-1060872,-954372,-922095
Canterbury,23304.742535359324,7.593594830680783,102156,3069,-2641680,-3065931,,,-3065931,-2556051,-1235340,-3010431,-2788602,-2509917
Gisborne,2147.5319650893316,9.061316308393804,7386,237,-228687,-236763,,,-236763,-210237,-52794,-235758,-209085,-179823
Hawke's Bay,6733.528881352375,8.333575348208385,24531,808,-727335,-807192,,,-807192,-711945,-295326,-803172,-723843,-654933
Manawatu-Wanganui,10580.422034560477,8.539485096497561,39240,1239,-1131762,-1237761,,,-1237761,-1068177,-423945,-1235745,-1100529,-995409
Marlborough,1958.2317029803094,11.587169840120174,6648,169,-137250,-168831,,,-168831,-142662,-39252,-166818,-146094,-132906
Nelson,3558.7816343452114,8.679955205720027,17055,410,-329244,-409590,,,-409590,-348645,-151566,-402543,-355944,-317055
Northland,8865.028331438818,13.63850512529049,25308,650,-637215,-649350,,,-649350,-565290,-232632,-646335,-551619,-557901
Otago,8450.064641670673,9.399404495740459,45840,899,-822702,-898101,,,-898101,-723138,-219057,-888009,-773091,-664059
Southland,5173.535930585302,12.031478908337911,16524,430,-383013,-429570,,,-429570,-363456,-124710,-428565,-373314,-343176
Taranaki,5528.372031953817,11.398705220523334,19470,485,-436866,-484515,,,-484515,-426948,-111432,-481491,-424404,-389550
Waikato,22579.404467225097,9.54731689946093,81762,2365,-2208387,-2362635,,,-2356572,-1910082,-852060,-2351565,-2121009,-1989171
Wellington,21877.262210488847,8.616487676443027,93057,2539,-2396673,-2536461,,,-2536461,-2277207,-1180260,-2503248,-2324310,-1964319
West Coast,1006.4358415643056,12.425133846472908,4386,81,-70809,-80919,,,-80919,-67815,-25425,-80919,-54384,-64122
