Name,Commute_distance_total,Commute_distance_average,Number_of_pax,Number_of_destinations,Bicycle,Ferry,Bus,Train,Drive_car_truck_van,Passenger_in_car_truck_van,Other,From_home,Walk_or_jog
Ashburton,5777.122973525018,0.42516904868904637,19098,400,204,,1278,0,8145,2055,483,4083,1227
Auckland,1878.836895684794,0.42394388843262854,4908,117,48,,174,0,1551,693,21,1143,264
Buller,801.967421834132,0.43838303763056563,4464,52,141,,249,0,1701,636,27,1134,405
Carterton,2781.921441978984,0.6165409401557471,4359,125,54,,366,129,1512,570,9,990,177
Central Hawke's Bay,3572.8299516776506,0.839048565552943,7158,124,69,,576,0,2820,720,81,1842,537
Central Otago,2780.3892551885356,0.5521429319789939,12930,130,576,,543,0,5766,1305,27,2934,1305
Christchurch,39815.823677893066,0.14940038423255758,196059,7217,8880,,6219,0,87651,18084,444,22065,17706
Clutha,3245.882165849236,0.7246134611603772,10344,127,96,,891,0,4041,1092,126,2811,885
Dunedin,12445.365035412757,0.205376510638122,76260,1822,927,,2460,0,30084,9396,141,8064,17652
Far North,10626.245348904919,0.48039012509479306,26625,622,60,,2655,0,10554,3246,30,6309,1419
Franklin,55258.55144509851,0.36167991817998846,103278,3999,108,,2631,2181,47667,14349,30,12414,6708
Gisborne,6010.112894001493,0.2834414512602821,24120,605,219,,882,0,10899,3774,99,4095,1398
Gore,2038.96540070928,0.4471334887515296,6699,133,84,,408,0,2937,792,24,1317,552
Grey,1460.4056020188373,0.3237317659869936,6765,127,48,,363,0,2856,768,21,1554,636
Hamilton,11695.372156604231,0.16272184889519334,79002,2135,1800,,2349,0,37983,10431,69,8343,8133
Hastings,9910.63867044185,0.25524467646999316,31569,1086,534,,1149,0,13539,4170,87,5796,1872
Hastings city,6693.47532022597,0.17062772303758525,30732,1039,570,,474,0,13854,4488,12,4305,2571
Hauraki,1707.990541803883,0.34870669870553034,7896,135,105,,537,0,2751,1107,72,2103,696
Horowhenua,5264.941637549047,0.33985080102635734,12009,425,96,,456,48,4464,1728,63,2316,1125
Hurunui,3607.8318204961033,0.913361739076316,6744,116,102,,720,0,1986,588,126,2268,492
Hutt city,13072.46054294792,0.23076431390469604,51696,1627,450,,2904,4845,17151,7008,57,5475,4377
Invercargill,5660.171965151215,0.19166603081168765,30216,759,600,,564,0,15834,4944,48,3183,2217
Kaikoura,296.2480962837383,0.7738477459690127,2082,10,81,,99,0,867,216,12,636,138
Kaipara,2966.9367218173174,0.669714098265122,10197,128,42,,1107,0,3687,1254,99,3024,552
Kapiti Coast,11833.12824044616,0.4929800963467834,23877,618,873,,561,2010,7470,3330,9,4047,2436
Mackenzie,1080.7420572305061,1.0405971402478773,2937,30,171,,213,0,828,192,12,912,465
Manawatu,6294.849415063167,0.37978510585173475,15660,478,84,,774,0,6354,2235,102,3384,1125
Manukau,48746.72579629885,0.22257831827849028,142596,5655,285,,4806,2481,67071,17802,33,12645,11736
Marlborough,9515.29465227329,0.44732451666001505,25620,561,885,,840,0,11706,2991,48,4788,1869
Masterton,3626.7477010569537,0.2822578163515811,12162,348,168,,339,60,5340,1974,45,2106,771
Matamata-Piako,6179.096913546972,0.5081945460741618,17349,345,222,,1014,0,7035,2121,252,4170,1284
Napier,1250.2062114465675,0.22729858410382253,5154,151,99,,213,0,2328,468,0,1023,477
Nelson,3948.2952666958417,0.19405594572287163,25947,603,1464,,465,0,11055,2754,93,3873,3183
New Plymouth,9044.218311080018,0.26348508573191814,43773,956,954,,1452,0,20004,6537,228,7563,3279
Opotiki,1048.6026998884563,0.5262168651311772,3813,58,30,,279,0,1626,468,15,870,264
Otorohanga,2071.5197590132598,0.6403130157761217,4881,94,24,,492,0,1416,585,135,1695,213
Palmerston North,5796.619428172242,0.13120676587556224,46635,1237,1257,,2037,0,21243,6300,75,5691,4551
Porirua,9504.97048658078,0.28958079518151475,31662,924,180,,1131,3555,10158,5547,24,3348,2775
Queenstown-Lakes,4181.748183441837,0.295012096526192,25296,370,891,,1800,0,10794,2547,15,4827,2631
Rangitikei,2897.660279086307,0.6152675096174982,7191,138,72,,387,0,2688,978,75,1833,594
Rodney,41838.17592058754,0.5009749249920763,62823,2200,303,,5115,15,25398,8265,48,11511,3033
Rotorua,8203.576658867525,0.22171284404856006,34101,1060,381,,1230,0,15753,4908,114,5406,2031
Ruapehu,1345.9542206710223,0.44811441998491675,5904,85,57,,501,0,2187,717,45,1617,423
Selwyn,17207.21164537944,0.47757499822954275,35043,991,987,,2421,0,14214,4416,309,6501,2787
South Taranaki,5121.897621584474,0.5120469851521842,13551,295,87,,906,0,4722,1731,264,3663,1101
South Waikato,3093.841178805286,0.46048268095912886,10320,196,60,,519,0,4008,1686,180,2112,939
South Wairarapa,3794.5000841287083,0.8453038193931965,5250,128,126,,372,360,1500,564,48,1380,357
Southland,8642.682027772127,0.8337682920663103,18558,299,327,,2133,0,5979,1296,477,5997,1131
Stratford,1822.5920113032923,0.4974468638565136,4395,106,9,,219,0,1473,762,42,1242,243
Tararua,2868.4398722498936,0.5790316272929981,8607,144,66,,687,0,2928,1020,114,2466,798
Tasman,10288.587119481781,0.4148826477226737,28236,649,1008,,1716,0,11277,2961,66,6096,2412
Taupo,4344.473715137259,0.3277100503475612,18963,374,180,,798,0,8370,2679,198,3840,1266
Thames-Coromandel,1816.2113946316508,0.30870807138297557,12387,166,291,,675,0,4965,1539,36,3105,1152
Timaru,5156.477946383716,0.2432188865314885,24957,588,414,,978,0,12207,2628,111,4002,2031
Upper Hutt,9590.312607893662,0.3570984122473069,21438,735,138,,879,1842,7329,3162,24,2721,1560
Waikato,10699.958747691755,0.38809814455015046,29283,787,168,,1920,0,11055,4893,198,6267,1992
Waimakariri,16653.34132383735,0.4116750101627678,27039,1090,321,,1506,0,10140,3837,66,5223,1890
Waimate,1817.5647020022927,0.5117194521173019,3786,102,30,,420,0,1098,207,96,1287,228
Waipa,11192.981919999318,0.3231331698016162,26292,958,351,,1194,0,10182,4122,198,5568,1407
Wairoa,1016.6501699825278,0.7637517788569407,3588,39,39,,276,0,1344,465,39,924,315
Waitakere,151731.37150291828,0.2015643408841123,495465,19112,2475,,50217,9423,181803,46686,330,51117,54420
Waitaki,2977.946299744027,0.4447679636435881,11256,195,132,,651,0,4653,1326,111,2484,1041
Waitomo,1595.1242085339322,0.6451438106408429,4806,73,15,,318,0,1773,630,87,1296,393
Wanganui,4025.249493862639,0.18908005192624433,20010,626,390,,183,0,9501,2895,48,3198,1296
Wellington,16581.791637091985,0.18098905343334298,125340,2765,2970,,22380,2181,25515,9765,1149,11859,32952
Western Bay of Plenty,18374.088760560262,0.2549232759462473,89727,2072,2772,,4671,0,41280,11430,189,16110,5196
Westland,1179.648912503372,0.6312375003837444,4905,51,123,,315,0,1875,492,30,1242,621
Whakatane,4779.531810375572,0.4169702916285223,16860,326,258,,927,0,7137,2325,108,3213,1506
Whangarei,11923.59715214181,0.3263162744138771,44238,1072,144,,2637,0,21063,6744,93,7476,2235
