Name,Commute_distance_total,Commute_distance_average,Number_of_pax,Number_of_destinations,Bicycle,Ferry,Public_bus,Train,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Other,Work_at_home,Walk_or_jog
Ashburton,3459.764274237117,13.783921411303256,13929,251,102,0,0,0,6453,1536,165,477,3648,417
Auckland,1546.232458815296,17.37339841365501,3678,89,6,363,30,0,1332,219,51,21,1026,150
Buller,525.3302130772036,16.41656915866261,3225,32,57,0,0,0,1344,339,156,27,978,219
Carterton,1963.0420656200984,25.829500863422346,2874,76,9,0,0,129,1269,192,6,9,840,96
Central Hawke's Bay,1989.6935371660118,28.02385263614101,5043,71,33,0,0,0,2409,357,111,81,1632,174
Central Otago,2299.450740798683,23.952611883319616,9636,96,213,0,0,0,4320,1344,234,21,2562,585
Christchurch,31140.931911119398,5.96683884098858,132888,5219,3852,9,1422,0,72276,7287,282,36,17835,3441
Clutha,2327.415634372779,26.447904936054307,7554,88,42,0,0,0,3354,603,204,126,2580,354
Dunedin,7052.55582738892,6.12201026683066,45282,1152,450,0,903,0,24096,3240,948,45,6504,3894
Far North,7418.545532038184,18.22738459960242,18291,407,6,0,0,0,9255,1173,327,24,5280,627
Franklin,44803.837545397226,15.46026140282858,71250,2898,6,0,72,741,40908,5031,867,30,9945,744
Gisborne,3862.5809289121617,10.496143828565657,16734,368,135,0,0,0,8889,1458,624,93,3390,402
Gore,1347.7925215223913,15.143736196880802,4785,89,15,0,0,0,2376,477,72,24,1185,207
Grey,1040.730788879564,12.101520800925163,4752,86,42,0,0,0,2340,429,102,21,1293,150
Hamilton,6602.895679598616,5.0250347637736805,49695,1314,486,0,498,0,30024,3747,603,24,6351,1767
Hastings,7052.638699005608,9.781745768385031,21429,721,156,0,15,0,11310,1632,204,75,4845,333
Hastings city,5268.531555772249,7.348021695637725,20973,717,123,0,9,0,12042,1227,477,0,3390,513
Hauraki,1233.7803626956793,14.181383479260681,5259,87,24,0,0,0,2355,378,30,72,1815,243
Horowhenua,3824.186166913861,14.822427003542098,7854,258,18,0,0,48,3918,504,108,63,1809,306
Hurunui,2146.797207412478,29.816627880728863,4809,72,33,0,0,0,1593,366,39,126,2073,288
Hutt city,8745.880065219695,8.196701092052198,34530,1067,168,192,1107,4845,14664,1956,579,36,4026,981
Invercargill,4642.685232716384,9.34141897930862,20805,497,255,0,6,0,12855,2088,660,42,2445,576
Kaikoura,48.24974109486595,12.062435273716488,1674,4,60,0,0,0,717,150,39,12,585,90
Kaipara,1828.6071592359447,23.44368152866596,7089,78,15,0,0,0,3048,555,240,93,2637,225
Kapiti Coast,9689.621172280493,22.173046160824928,15561,437,150,0,60,2010,6480,849,144,0,3159,477
Mackenzie,657.3828753157916,36.52127085087731,2229,18,75,0,0,0,621,198,51,12,825,351
Manawatu,3745.367231783052,13.521181342177083,10419,277,60,0,0,0,5214,933,93,102,2793,336
Manukau,39959.10564805602,9.827620670943439,96891,4066,12,276,360,975,58689,5220,1749,9,10311,669
Marlborough,7557.06294929298,19.278221809420867,18972,392,273,0,0,0,9726,1785,285,33,4029,909
Masterton,2715.2833107259366,12.570756068175633,8439,216,81,0,0,60,4626,612,123,45,1704,273
Matamata-Piako,4224.098725827669,18.77377211478964,12324,225,84,0,0,0,5856,897,135,252,3765,501
Napier,922.9144259828697,9.137766593889799,3756,101,42,0,0,0,1905,333,33,0,846,237
Nelson,2457.03589200037,6.220344030380684,17733,395,681,0,15,0,9264,1203,177,69,3144,1113
New Plymouth,6460.36980050835,10.254555238902142,30006,630,294,0,30,0,17034,2409,519,213,6054,1044
Opotiki,529.0202711553161,17.06517003726826,2766,31,9,0,0,0,1368,219,159,15,765,102
Otorohanga,1148.6612151065342,21.672853115217627,3348,53,6,0,0,0,1155,216,33,135,1518,102
Palmerston North,3969.7543060476855,5.223360929010113,29517,760,561,0,264,0,17157,1908,504,75,4071,1557
Porirua,6478.248988576931,11.131012007864143,19479,582,21,0,171,3555,8604,975,585,24,2535,300
Queenstown-Lakes,3456.8800903709134,12.390251219967432,19512,279,417,0,462,0,8844,1788,369,15,4143,1992
Rangitikei,1551.979677362214,19.645312371673594,4932,79,24,0,0,0,2283,342,126,75,1545,240
Rodney,33643.81264412704,21.19962989548018,42786,1587,6,156,744,0,20760,3591,297,42,9813,675
Rotorua,5173.348184262559,8.083356537910248,23397,640,165,0,108,0,13077,1971,426,114,4422,495
Ruapehu,877.6201592304592,17.91061549449917,4230,49,18,0,0,0,1809,378,129,39,1401,234
Selwyn,12982.42560819495,18.679749076539498,22074,695,186,0,30,0,11103,1929,48,210,5550,669
South Taranaki,2907.9645378464156,16.245611943276064,9393,179,60,0,0,0,4233,468,57,264,3183,450
South Waikato,1551.8647115752597,14.640233128068488,6627,106,27,0,0,0,3354,480,162,180,1773,192
South Wairarapa,2555.158767572767,30.785045392442974,3690,83,27,0,0,360,1326,156,30,48,1221,168
Southland,5177.805708808545,29.587461193191686,13359,175,138,0,0,0,4578,1197,141,477,5556,639
Stratford,1092.0015736592022,17.33335831205083,2850,63,0,0,0,0,1284,147,6,30,1062,72
Tararua,1531.939920244499,19.39164456005695,5793,79,27,0,0,0,2523,354,99,114,2127,282
Tasman,8221.06485983204,18.39164398172716,19395,447,366,0,0,0,9228,1632,261,36,5127,858
Taupo,3023.1701984324523,12.289309749725415,13581,246,63,0,0,0,6975,1296,246,186,3216,414
Thames-Coromandel,1206.925992804647,12.06925992804647,9054,100,132,0,0,0,4131,813,237,27,2703,606
