id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E14998,Otaki Forks,Te Horo,BICYCLE,9,EDUCATION,Otaki Forks,-40.82379781,175.18692762,Te Horo,-40.79710947,175.10587813,7.43876804629169,Kapiti Coast,Kapiti Coast,Wellington,Wellington
E17401,Tauherenikau,Greytown,BICYCLE,9,EDUCATION,Tauherenikau,-41.06390044,175.36907465,Greytown,-41.08242941,175.45428378,7.434008365852487,South Wairarapa,South Wairarapa,Wellington,Wellington
E17426,Golden Bay/Mohua,Takaka,BICYCLE,12,EDUCATION,Golden Bay/Mohua,-40.86935481,172.57195655,Takaka,-40.86055176,172.81878698,20.77942410807129,Tasman,Tasman,Nelson,Nelson
E17428,Pohara-Abel Tasman,Takaka,BICYCLE,24,EDUCATION,Pohara-Abel Tasman,-40.89750912,172.92321196,Takaka,-40.86055176,172.81878698,9.693581382295983,Tasman,Tasman,Nelson,Nelson
E18350,Bishopdale North,Christchurch Central-South,BICYCLE,6,EDUCATION,Bishopdale North,-43.48356448,172.58765972,Christchurch Central-South,-43.53815861,172.64240289,7.506093346552556,Christchurch,Christchurch,Canterbury,Canterbury
E18503,Lincoln West,Christchurch Central-South,BICYCLE,18,EDUCATION,Lincoln West,-43.64345571,172.47791199,Christchurch Central-South,-43.53815861,172.64240289,17.680096219483445,Selwyn,Christchurch,Canterbury,Canterbury
E18812,Westmorland,Ilam University,BICYCLE,6,EDUCATION,Westmorland,-43.58478365,172.60947081,Ilam University,-43.52336127,172.57826459,7.278120306624203,Christchurch,Christchurch,Canterbury,Canterbury
E18819,St Martins,Ilam University,BICYCLE,9,EDUCATION,St Martins,-43.5572164,172.6539556,Ilam University,-43.52336127,172.57826459,7.1689520121575585,Christchurch,Christchurch,Canterbury,Canterbury
E18824,Cashmere East,Ilam University,BICYCLE,6,EDUCATION,Cashmere East,-43.57800586,172.64062139,Ilam University,-43.52336127,172.57826459,7.885070140492574,Christchurch,Christchurch,Canterbury,Canterbury
E19959,Prebbleton,Lincoln West,BICYCLE,24,EDUCATION,Prebbleton,-43.57865333,172.50783629,Lincoln West,-43.64345571,172.47791199,7.597778680016982,Selwyn,Selwyn,Canterbury,Canterbury
E20781,Cairnbrae,Methven,BICYCLE,12,EDUCATION,Cairnbrae,-43.66455634,171.77355459,Methven,-43.63301935,171.64267984,11.098604789060364,Ashburton,Ashburton,Canterbury,Canterbury
E21177,Lower Waitaki,Oamaru North Milner Park,BICYCLE,6,EDUCATION,Lower Waitaki,-45.00239341,171.02035686,Oamaru North Milner Park,-45.06404471,171.0000369,7.03881777250945,Waitaki,Waitaki,Otago,Otago
