id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E13,North Cape,Kaitaia West,BUS,-936,EDUCATION,North Cape,-34.50545276,172.77554997,Kaitaia West,-35.12178170000001,173.26717397,81.92088293451681,Far North,Far North,Northland,Northland
E14,Rangaunu Harbour,Kaitaia West,BUS,-921,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia West,-35.12178170000001,173.26717397,25.72425126898446,Far North,Far North,Northland,Northland
E22,Taumarumaru,Kaitaia West,BUS,-987,EDUCATION,Taumarumaru,-34.99672682,173.50774402,Kaitaia West,-35.12178170000001,173.26717397,25.93880091011843,Far North,Far North,Northland,Northland
E25,Taemaro-Oruaiti,Kaitaia West,BUS,-993,EDUCATION,Taemaro-Oruaiti,-35.02535123,173.57890377,Kaitaia West,-35.12178170000001,173.26717397,30.327315221533603,Far North,Far North,Northland,Northland
E29,Kaitaia West,Rangaunu Harbour,BUS,-984,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Rangaunu Harbour,-34.91627744,173.13744282,25.72425126898446,Far North,Far North,Northland,Northland
E34,Rangaunu Harbour,Rangitihi,BUS,-987,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Rangitihi,-35.12785001,173.31122240000005,28.352749145416972,Far North,Far North,Northland,Northland
E59,Maromaku,Whangarei Central,BUS,-993,EDUCATION,Maromaku,-35.47825535,174.14132759999995,Whangarei Central,-35.72846995,174.32430322,32.369026355086625,Far North,Whangarei,Northland,Northland
E60,Mangakahia-Hukerenui,Whangarei Central,BUS,-987,EDUCATION,Mangakahia-Hukerenui,-35.65301955,174.0023164,Whangarei Central,-35.72846995,174.32430322,30.26472599891327,Whangarei,Whangarei,Northland,Northland
E61,Whangaruru,Whangarei Central,BUS,-975,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Whangarei Central,-35.72846995,174.32430322,26.543203308528863,Whangarei,Whangarei,Northland,Northland
E99,Waipu,Whangarei Central,BUS,-993,EDUCATION,Waipu,-36.03330412,174.45082085,Whangarei Central,-35.72846995,174.32430322,35.76122204449049,Whangarei,Whangarei,Northland,Northland
E155,Kohukohu-Broadwood,Okaihau,BUS,-987,EDUCATION,Kohukohu-Broadwood,-35.29006863,173.46362668,Okaihau,-35.28661159,173.79081555,29.699259653943162,Far North,Far North,Northland,Northland
E238,Gulf Harbour South,Queen Street,BUS,-993,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Queen Street,-36.84774104,174.76524972,25.118021239568023,Rodney,Waitakere,Auckland,Auckland
E664,Matawaia-Taumarere,Russell Forest-Rawhiti,BUS,-987,EDUCATION,Matawaia-Taumarere,-35.49406405,173.95266307,Russell Forest-Rawhiti,-35.36879174,174.22606034,28.41854350344391,Far North,Far North,Northland,Northland
E671,Moerewa,Morningside (Whangarei District),BUS,-990,EDUCATION,Moerewa,-35.38372176,174.02517066,Morningside (Whangarei District),-35.73638776,174.32005673,47.42705889282313,Far North,Whangarei,Northland,Northland
E696,Maromaku,Kamo Central,BUS,-987,EDUCATION,Maromaku,-35.47825535,174.14132759999995,Kamo Central,-35.68486255,174.30491552,27.32483057769357,Far North,Whangarei,Northland,Northland
E697,Mangakahia-Hukerenui,Kamo Central,BUS,-984,EDUCATION,Mangakahia-Hukerenui,-35.65301955,174.0023164,Kamo Central,-35.68486255,174.30491552,27.563565801941852,Whangarei,Whangarei,Northland,Northland
E729,Whangaruru,Mangakahia-Hukerenui,BUS,-978,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Mangakahia-Hukerenui,-35.65301955,174.0023164,35.13328947399333,Whangarei,Whangarei,Northland,Northland
E851,Bream Bay,Kiripaka,BUS,-990,EDUCATION,Bream Bay,-35.91496801,174.38390319,Kiripaka,-35.64674958,174.40287423,29.873586535614773,Whangarei,Whangarei,Northland,Northland
E869,Matapouri-Tutukaka,Pukenui,BUS,-990,EDUCATION,Matapouri-Tutukaka,-35.59792832,174.47802227,Pukenui,-35.74644668,174.25502298,26.04800717303444,Whangarei,Whangarei,Northland,Northland
