id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E1230,New Windsor South,Auckland-University,OTHER,6,EDUCATION,New Windsor South,-36.90852211,174.71637156,Auckland-University,-36.85143057,174.76906469,7.890905332826708,Waitakere,Waitakere,Auckland,Auckland
E1245,Mount Eden South,Auckland-University,OTHER,9,EDUCATION,Mount Eden South,-36.89582511,174.75448765,Auckland-University,-36.85143057,174.76906469,5.103902298065822,Waitakere,Waitakere,Auckland,Auckland
E1250,Mount Roskill Central North,Auckland-University,OTHER,6,EDUCATION,Mount Roskill Central North,-36.908803999999996,174.74301108,Auckland-University,-36.85143057,174.76906469,6.787464484245795,Waitakere,Waitakere,Auckland,Auckland
E1257,Mission Bay,Auckland-University,OTHER,9,EDUCATION,Mission Bay,-36.855756,174.83237219,Auckland-University,-36.85143057,174.76906469,5.6532766430358645,Waitakere,Waitakere,Auckland,Auckland
E1266,Hillsborough West (Auckland),Auckland-University,OTHER,6,EDUCATION,Hillsborough West (Auckland),-36.91988593,174.74732339,Auckland-University,-36.85143057,174.76906469,7.8536443955442365,Waitakere,Waitakere,Auckland,Auckland
E13770,Tangiwai,Raetihi,OTHER,6,EDUCATION,Tangiwai,-39.36236325,175.16766499,Raetihi,-39.42926305,175.27603962,11.918933928166703,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui
E15154,Island Bay West,Wellington University,OTHER,6,EDUCATION,Island Bay West,-41.34095916,174.76904840000003,Wellington University,-41.289084,174.7676253,5.769478960284372,Wellington,Wellington,Wellington,Wellington
E15156,Island Bay East,Wellington University,OTHER,6,EDUCATION,Island Bay East,-41.33666605,174.77592354,Wellington University,-41.289084,174.7676253,5.336083383810338,Wellington,Wellington,Wellington,Wellington
E15167,Seatoun,Wellington University,OTHER,6,EDUCATION,Seatoun,-41.32569332,174.83335901,Wellington University,-41.289084,174.7676253,6.8350133318092,Wellington,Wellington,Wellington,Wellington
E20686,Rolleston North West,Springston,OTHER,9,EDUCATION,Rolleston North West,-43.60086348,172.36340669999996,Springston,-43.65558055,172.37556591,6.1624658850726926,Selwyn,Selwyn,Canterbury,Canterbury
