id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E5,Tangonge,Kaitaia East,DRIVE_OWN_VEHICLE,9,EDUCATION,Tangonge,-35.12314727,173.21860407,Kaitaia East,-35.10383477,173.26414302,4.665747306475739,Far North,Far North,Northland,Northland
E14,Rangaunu Harbour,Kaitaia West,DRIVE_OWN_VEHICLE,6,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia West,-35.12178170000001,173.26717397,25.72425126898446,Far North,Far North,Northland,Northland
E20,Rangitihi,Kaitaia West,DRIVE_OWN_VEHICLE,6,EDUCATION,Rangitihi,-35.12785001,173.31122240000005,Kaitaia West,-35.12178170000001,173.26717397,4.062476136130794,Far North,Far North,Northland,Northland
E60,Mangakahia-Hukerenui,Whangarei Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Mangakahia-Hukerenui,-35.65301955,174.0023164,Whangarei Central,-35.72846995,174.32430322,30.26472599891327,Whangarei,Whangarei,Northland,Northland
E62,Matarau,Whangarei Central,DRIVE_OWN_VEHICLE,15,EDUCATION,Matarau,-35.66728748,174.20987157,Whangarei Central,-35.72846995,174.32430322,12.371841060173596,Whangarei,Whangarei,Northland,Northland
E64,Kauri,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Kauri,-35.62944367,174.28665672,Whangarei Central,-35.72846995,174.32430322,11.524296190570615,Whangarei,Whangarei,Northland,Northland
E65,Maungatapere,Whangarei Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Maungatapere,-35.76206371,174.15473729,Whangarei Central,-35.72846995,174.32430322,15.75234482005794,Whangarei,Whangarei,Northland,Northland
E66,Kamo West,Whangarei Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Kamo West,-35.67006476,174.29507452,Whangarei Central,-35.72846995,174.32430322,7.010203931116313,Whangarei,Whangarei,Northland,Northland
E69,Kamo East,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Kamo East,-35.67747272,174.30980246,Whangarei Central,-35.72846995,174.32430322,5.8198379796955395,Whangarei,Whangarei,Northland,Northland
E70,Granfield Reserve,Whangarei Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Granfield Reserve,-35.69015065,174.29505823,Whangarei Central,-35.72846995,174.32430322,5.012745439983346,Whangarei,Whangarei,Northland,Northland
E72,Whau Valley,Whangarei Central,DRIVE_OWN_VEHICLE,18,EDUCATION,Whau Valley,-35.70520079,174.29580182,Whangarei Central,-35.72846995,174.32430322,3.649061931857997,Whangarei,Whangarei,Northland,Northland
E73,Tikipunga North,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Tikipunga North,-35.68085136,174.32304772,Whangarei Central,-35.72846995,174.32430322,5.296159046253138,Whangarei,Whangarei,Northland,Northland
E74,Pukenui,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Pukenui,-35.74644668,174.25502298,Whangarei Central,-35.72846995,174.32430322,6.564764737998407,Whangarei,Whangarei,Northland,Northland
E76,Tikipunga South,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Tikipunga South,-35.69457731,174.33166497,Whangarei Central,-35.72846995,174.32430322,3.8268529249105576,Whangarei,Whangarei,Northland,Northland
E78,Abbey Caves-Glenbervie,Whangarei Central,DRIVE_OWN_VEHICLE,15,EDUCATION,Abbey Caves-Glenbervie,-35.70399025,174.36122936,Whangarei Central,-35.72846995,174.32430322,4.303856086763443,Whangarei,Whangarei,Northland,Northland
E80,Maunu-Horahora,Whangarei Central,DRIVE_OWN_VEHICLE,18,EDUCATION,Maunu-Horahora,-35.73757136,174.29037127,Whangarei Central,-35.72846995,174.32430322,3.2256429060483325,Whangarei,Whangarei,Northland,Northland
E84,Raumanga,Whangarei Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Raumanga,-35.74968804,174.29896302,Whangarei Central,-35.72846995,174.32430322,3.2859201489749075,Whangarei,Whangarei,Northland,Northland
E87,Ngunguru,Whangarei Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Ngunguru,-35.62462501,174.51474389,Whangarei Central,-35.72846995,174.32430322,20.717972821814662,Whangarei,Whangarei,Northland,Northland
E89,Oakleigh-Mangapai,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.023876321544968,Whangarei,Whangarei,Northland,Northland
E92,Sherwood Rise,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Sherwood Rise,-35.7486834,174.3618074,Whangarei Central,-35.72846995,174.32430322,4.063236352929272,Whangarei,Whangarei,Northland,Northland
E93,Onerahi,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Onerahi,-35.76617497,174.363527,Whangarei Central,-35.72846995,174.32430322,5.487079761140008,Whangarei,Whangarei,Northland,Northland
E94,Parua Bay,Whangarei Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Parua Bay,-35.76001844,174.42812257,Whangarei Central,-35.72846995,174.32430322,10.0048181178566,Whangarei,Whangarei,Northland,Northland
E113,Lake Manuwai-Kapiro,Kerikeri Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kerikeri Central,-35.22507309,173.95096304,9.095869218805976,Far North,Far North,Northland,Northland
E117,Puketotara,Kerikeri Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Puketotara,-35.25176279999999,173.90330753,Kerikeri Central,-35.22507309,173.95096304,5.247814723970481,Far North,Far North,Northland,Northland
E147,Ngapuhi,Kaikohe,DRIVE_OWN_VEHICLE,9,EDUCATION,Ngapuhi,-35.4228326,173.76534835,Kaikohe,-35.40792422,173.79767516,3.3659986960200716,Far North,Far North,Northland,Northland
E225,South Head,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,South Head,-36.59353204,174.31227374,Queen Street,-36.84774104,174.76524972,49.28507183044582,Rodney,Waitakere,Auckland,Auckland
E227,Helensville,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Helensville,-36.67496915,174.45425272,Queen Street,-36.84774104,174.76524972,33.713522761480625,Rodney,Waitakere,Auckland,Auckland
E230,Waipatukahu,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,Waipatukahu,-36.77908114,174.42070067,Queen Street,-36.84774104,174.76524972,31.608199761006173,Rodney,Waitakere,Auckland,Auckland
E235,Gulf Harbour North,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Queen Street,-36.84774104,174.76524972,26.6163700337956,Rodney,Waitakere,Auckland,Auckland
