id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E100,Kaipara Coastal,Whangarei Central,WALK_OR_JOG,9,EDUCATION,Kaipara Coastal,-35.72900181,173.65124289,Whangarei Central,-35.72846995,174.32430322,60.75505575069115,Kaipara,Whangarei,Northland,Northland
E103,Ruawai-Matakohe,Whangarei Central,WALK_OR_JOG,6,EDUCATION,Ruawai-Matakohe,-36.08477059,174.14649781,Whangarei Central,-35.72846995,174.32430322,42.73287395865936,Kaipara,Whangarei,Northland,Northland
E612,Kaikohe,Manurewa East,WALK_OR_JOG,6,EDUCATION,Kaikohe,-35.40792422,173.79767516,Manurewa East,-37.02583832,174.90610927,205.55176863120468,Far North,Franklin,Northland,Auckland
E1373,Somerville,Auckland-University,WALK_OR_JOG,6,EDUCATION,Somerville,-36.91234246,174.93394109,Auckland-University,-36.85143057,174.76906469,16.15302720106825,Manukau,Waitakere,Auckland,Auckland
E1497,Tamahere North,Auckland-University,WALK_OR_JOG,9,EDUCATION,Tamahere North,-37.8125973,175.35271026,Auckland-University,-36.85143057,174.76906469,118.68173085826952,Waikato,Waitakere,Waikato,Auckland
E1505,Hamilton Lake,Auckland-University,WALK_OR_JOG,9,EDUCATION,Hamilton Lake,-37.79791394,175.27349231,Auckland-University,-36.85143057,174.76906469,114.30510280473995,Hamilton,Waitakere,Waikato,Auckland
E1508,Hamilton West,Auckland-University,WALK_OR_JOG,9,EDUCATION,Hamilton West,-37.80074182,175.2844169,Auckland-University,-36.85143057,174.76906469,114.97375248901724,Hamilton,Waitakere,Waikato,Auckland
E1510,Melville North,Auckland-University,WALK_OR_JOG,12,EDUCATION,Melville North,-37.81091872,175.27938651,Auckland-University,-36.85143057,174.76906469,115.83839313838122,Hamilton,Waitakere,Waikato,Auckland
E1520,Bethlehem Central,Auckland-University,WALK_OR_JOG,6,EDUCATION,Bethlehem Central,-37.706587899999995,176.11498118,Auckland-University,-36.85143057,174.76906469,152.38687826070344,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland
E1529,Westown ,Auckland-University,WALK_OR_JOG,9,EDUCATION,Westown,-39.0747742,174.06011109,Auckland-University,-36.85143057,174.76906469,254.9145330895776,New Plymouth,Waitakere,Taranaki,Auckland
E2363,Waterview,Albany West,WALK_OR_JOG,15,EDUCATION,Waterview,-36.87948054,174.69936142,Albany West,-36.7414674,174.68787988,15.380363277536823,Waitakere,Waitakere,Auckland,Auckland
