SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Kaitaia West,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia West,-35.12178170000001,173.26717397,Whangarei Central,-35.72846995,174.32430322,117.15652024080826,Far North,Whangarei,Northland,Northland,EDUCATION
Kaikohe,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaikohe,-35.40792422,173.79767516,Queen Street,-36.84774104,174.76524972,182.16115476048734,Far North,Waitakere,Northland,Auckland,EDUCATION
Matapouri-Tutukaka,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Matapouri-Tutukaka,-35.59792832,174.47802227,Queen Street,-36.84774104,174.76524972,141.34084175905247,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Kaikohe,Manurewa East,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Kaikohe,-35.40792422,173.79767516,Manurewa East,-37.02583832,174.90610927,205.55176863120468,Far North,Franklin,Northland,Auckland,EDUCATION
Granfield Reserve,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Granfield Reserve,-35.69015065,174.29505823,Auckland-University,-36.85143057,174.76906469,135.94017921627628,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Whau Valley,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Whau Valley,-35.70520079,174.29580182,Auckland-University,-36.85143057,174.76906469,134.32921094266186,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Tikipunga South,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Tikipunga South,-35.69457731,174.33166497,Auckland-University,-36.85143057,174.76906469,134.47919611155731,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Maunu-Horahora,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maunu-Horahora,-35.73757136,174.29037127,Auckland-University,-36.85143057,174.76906469,131.0745614025634,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Woodhill-Vinetown,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Woodhill-Vinetown,-35.727035,174.30955264,Auckland-University,-36.85143057,174.76906469,131.63519028625154,Whangarei,Waitakere,Northland,Auckland,EDUCATION
Tamahere North,Auckland-University,-999,9,-999,-999,-999,9,-999,-999,-999,-999,18,Tamahere North,-37.8125973,175.35271026,Auckland-University,-36.85143057,174.76906469,118.68173085826952,Waikato,Waitakere,Waikato,Auckland,EDUCATION
Flagstaff South,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Flagstaff South,-37.729433,175.23989195,Auckland-University,-36.85143057,174.76906469,106.14249241822662,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
