SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Matapouri-Tutukaka,Pukenui,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Matapouri-Tutukaka,-35.59792832,174.47802227,Pukenui,-35.74644668,174.25502298,26.04800717303444,Whangarei,Whangarei,EDUCATION
Tuakau Rural,Auckland-University,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,9,Tuakau Rural,-37.28621227,174.95229059,Auckland-University,-36.85143057,174.76906469,51.005482817673766,Franklin,Waitakere,EDUCATION
Bruce,Maori Hill,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Bruce,-46.07247342,170.08655606,Maori Hill,-45.85777797,170.50064652,39.928297542435004,Clutha,Dunedin,EDUCATION
Riverlea,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Riverlea,-37.80516292,175.32490337,Auckland-University,-36.85143057,174.76906469,116.88413308477942,Hamilton,Waitakere,EDUCATION
Woodhill-Vinetown,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Woodhill-Vinetown,-35.727035,174.30955264,Auckland-University,-36.85143057,174.76906469,131.63519028625154,Whangarei,Waitakere,EDUCATION
Te Kuiti West,Aria,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Te Kuiti West,-38.33639894,175.16019027,Aria,-38.542289200000006,175.02022119,25.937317622465983,Waitomo,Waitomo,EDUCATION
Catlins,Balclutha South,-999,-999,27,-999,-999,-999,9,-999,-999,-999,39,Catlins,-46.45964433,169.46517021,Balclutha South,-46.24449018,169.72255412,31.025507512131966,Clutha,Clutha,EDUCATION
Royal Terrace,Hagley Park,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Royal Terrace,-45.86668004,170.50466615,Hagley Park,-43.53053792,172.61981252,308.8869183522036,Dunedin,Christchurch,EDUCATION
Somerville,Albany Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Somerville,-36.91234246,174.93394109,Albany Central,-36.72820186,174.70483518,28.898830133745236,Manukau,Waitakere,EDUCATION
Tairua,Thames South,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Tairua,-36.99459914,175.85342329,Thames South,-37.1491222,175.55903757,31.26297732508445,Thames-Coromandel,Thames-Coromandel,EDUCATION
Te Awamutu Stadium,Hamilton East Village,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,15,Te Awamutu Stadium,-38.0160303,175.31531928,Hamilton East Village,-37.79028168,175.29324653,25.176695549635447,Waipa,Hamilton,EDUCATION
Kinleith,Utuhina,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Kinleith,-38.29131119,175.79670359,Utuhina,-38.14249953,176.23214439,41.484346778227135,South Waikato,Rotorua,EDUCATION
Tui Ridge,Kopurererua,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tui Ridge,-38.01697507,176.12931898,Kopurererua,-37.77550916,176.10390836,26.94220542582521,Rotorua,Western Bay of Plenty,EDUCATION
Edendale-Woodlands,Wyndham-Catlins,-999,-999,-999,-999,-999,-999,84,-999,-999,-999,90,Edendale-Woodlands,-46.3334381,168.67007113,Wyndham-Catlins,-46.47283276,168.99193119999995,29.14319528987156,Southland,Southland,EDUCATION
Waipaoa,Te Hapara East,-999,-999,15,-999,-999,-999,6,-999,-999,-999,24,Waipaoa,-38.34127548,177.70733968,Te Hapara East,-38.6560244,178.01721277,44.18222619665738,Gisborne,Gisborne,EDUCATION
Mangaonuku,Waipukurau East,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,12,Mangaonuku,-39.80378374,176.41709256,Waipukurau East,-40.00231546,176.56027065,25.22895715062737,Central Hawke's Bay,Central Hawke's Bay,EDUCATION
Longwood Forest,Riverton,-999,-999,18,-999,-999,-999,45,-999,-999,-999,66,Longwood Forest,-46.01707924,167.67301087,Riverton,-46.37009983,168.01257180000005,47.159267343561964,Southland,Southland,EDUCATION
Waikouaiti,Dunedin Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Waikouaiti,-45.60312292,170.66725767,Dunedin Central,-45.87712471,170.50291221,33.029334907292906,Dunedin,Dunedin,EDUCATION
Amberley,Christchurch Central-South,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Amberley,-43.15508463,172.73121686,Christchurch Central-South,-43.53815861,172.64240289,43.19705684002615,Hurunui,Christchurch,EDUCATION
Kawiu North,Tremaine,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawiu North,-40.61371427,175.30050027,Tremaine,-40.33969042,175.59865691,39.55264773606926,Horowhenua,Palmerston North,EDUCATION
Waikanae East,Whitby,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waikanae East,-40.86699218,175.07883134,Whitby,-41.11717134,174.89107268,31.972000521562247,Kapiti Coast,Porirua,EDUCATION
Te Kawa,Hamilton Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Te Kawa,-38.12026201,175.25944879,Hamilton Central,-37.78938082,175.28203067,36.84554309359925,Otorohanga,Hamilton,EDUCATION
Opotiki,Cape Runaway,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Opotiki,-38.0131159,177.28682473,Cape Runaway,-37.85617143,177.78942872,47.40763350741303,Opotiki,Opotiki,EDUCATION
Aka Aka,Auckland-University,-999,9,-999,9,-999,-999,-999,-999,-999,-999,18,Aka Aka,-37.29132737,174.77509206,Auckland-University,-36.85143057,174.76906469,48.91721536050543,Franklin,Waitakere,EDUCATION
Sandspit,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Sandspit,-36.39777901,174.69854725,Auckland-University,-36.85143057,174.76906469,50.83476936384195,Rodney,Waitakere,EDUCATION
Thames Coast,Ngatea,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Thames Coast,-37.0047507,175.54379335,Ngatea,-37.27899729,175.4915105,30.844948967309907,Thames-Coromandel,Hauraki,EDUCATION
Wairoa,Mahia,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,15,Wairoa,-39.03908469,177.41898076,Mahia,-38.98042026,177.71581946,26.464222982391572,Wairoa,Wairoa,EDUCATION
Huntly West,Hamilton East Village,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Huntly West,-37.53603123,175.13873674,Hamilton East Village,-37.79028168,175.29324653,31.37265314053145,Waikato,Hamilton,EDUCATION
Hokianga North,Kaikohe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hokianga North,-35.36850897,173.33840098,Kaikohe,-35.40792422,173.79767516,41.86382275604253,Far North,Far North,EDUCATION
Mangarara,Hastings Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Mangarara,-39.99003717,176.76264858,Hastings Central,-39.63962329,176.84642759,39.6158430863458,Central Hawke's Bay,Hastings city,EDUCATION
Tikipunga South,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Tikipunga South,-35.69457731,174.33166497,Auckland-University,-36.85143057,174.76906469,134.47919611155731,Whangarei,Waitakere,EDUCATION
Oneroa East-Palm Beach,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,15,Oneroa East-Palm Beach,-36.77927556,175.05218612,Auckland-University,-36.85143057,174.76906469,26.449550398740286,Auckland,Waitakere,EDUCATION
Starvation Hill-Cust,Strowan,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Starvation Hill-Cust,-43.29262485,172.36275322,Strowan,-43.50761954,172.60874654,31.08842691440714,Waimakariri,Christchurch,EDUCATION
Tirau,Hautapu,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Tirau,-37.95916018,175.81429616,Hautapu,-37.87894521,175.44370869,33.709160278440315,South Waikato,Waipa,EDUCATION
Poets Block,Wellington University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,Poets Block,-41.12290419,175.04604601,Wellington University,-41.289084,174.7676253,29.731437697942248,Upper Hutt,Wellington,EDUCATION
Hillcrest West (Hamilton City),Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Hillcrest West (Hamilton City),-37.79546663,175.31326581,Auckland-University,-36.85143057,174.76906469,115.4755630589725,Hamilton,Waitakere,EDUCATION
Lake Taupo Bays,Marotiri,-999,-999,9,-999,-999,-999,6,-999,-999,-999,15,Lake Taupo Bays,-38.87191067,175.73166979,Marotiri,-38.51214377,175.78064218,40.22940663843259,Taupo,Taupo,EDUCATION
Whau Valley,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Whau Valley,-35.70520079,174.29580182,Auckland-University,-36.85143057,174.76906469,134.32921094266186,Whangarei,Waitakere,EDUCATION
Poukawa,Waipukurau East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Poukawa,-39.75996379,176.70227115,Waipukurau East,-40.00231546,176.56027065,29.546954526722732,Hastings,Central Hawke's Bay,EDUCATION
Barrytown,Greymouth Central,-999,6,9,-999,-999,-999,27,-999,-999,-999,42,Barrytown,-42.31021412,171.43339948,Greymouth Central,-42.45704831,171.19924986,25.22761145885117,Grey,Grey,EDUCATION
Riversdale-Piano Flat,Gore North,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Riversdale-Piano Flat,-45.48645863,169.03162811,Gore North,-46.09161463,168.93868798,67.67502791406037,Southland,Gore,EDUCATION
Owhanga,Dannevirke West,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Owhanga,-40.51321329,176.31039241,Dannevirke West,-40.19710678,176.10242336,39.319570832306106,Tararua,Tararua,EDUCATION
Putararu,Hamilton Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Putararu,-38.05293796,175.78466514,Hamilton Central,-37.78938082,175.28203067,52.940796977234314,South Waikato,Hamilton,EDUCATION
Ashburton Forks,Tinwald South,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,Ashburton Forks,-43.78492258,171.43181981,Tinwald South,-43.92478814,171.71822146,27.735095981118256,Ashburton,Ashburton,EDUCATION
Waimumu-Kaiwera,Wyndham-Catlins,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,15,Waimumu-Kaiwera,-46.20791261,169.07308711,Wyndham-Catlins,-46.47283276,168.99193119999995,30.10935635080695,Gore,Southland,EDUCATION
Paekakariki,Wellington University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Paekakariki,-40.97186832,174.96895136,Wellington University,-41.289084,174.7676253,39.09584812120303,Kapiti Coast,Wellington,EDUCATION
Waikanae Beach,Wellington University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Waikanae Beach,-40.86463333,175.02708132,Wellington University,-41.289084,174.7676253,51.96640262310303,Kapiti Coast,Wellington,EDUCATION
Millwater North,Silverdale (Hamilton City),-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,Millwater North,-36.6014983,174.67227556,Silverdale (Hamilton City),-37.79128988,175.32912389,144.52516602801253,Rodney,Waikato,EDUCATION
Hedgehope,Gladstone (Invercargill City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hedgehope,-46.12903119,168.56584014,Gladstone (Invercargill City),-46.39213483,168.35330059,33.50942346711922,Southland,Invercargill,EDUCATION
Papakura North,Auckland-University,-999,6,-999,18,-999,-999,-999,-999,-999,-999,24,Papakura North,-37.05741406,174.94794613,Auckland-University,-36.85143057,174.76906469,27.87931585018937,Franklin,Waitakere,EDUCATION
Ealing-Lowcliffe,Christchurch Central-South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ealing-Lowcliffe,-44.03656373,171.49741748,Christchurch Central-South,-43.53815861,172.64240289,107.32555031441113,Ashburton,Christchurch,EDUCATION
Turangi,Taupo Central East,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Turangi,-38.99284557,175.80606909999997,Taupo Central East,-38.68453849,176.08132064,41.756495096167065,Taupo,Taupo,EDUCATION
Kirwee,Ilam University,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kirwee,-43.47484385,172.19966515,Ilam University,-43.52336127,172.57826459,31.010360611008586,Selwyn,Christchurch,EDUCATION
Upper Whanganui,College Estate,-999,-999,9,-999,-999,-999,6,-999,-999,-999,15,Upper Whanganui,-39.70091534,175.16952733,College Estate,-39.9305007,175.03470499,28.005601805531338,Wanganui,Wanganui,EDUCATION
Hakataramea,Danseys Pass,-999,-999,-999,-999,-999,-999,36,-999,-999,-999,39,Hakataramea,-44.5949764,170.59314374,Danseys Pass,-44.89434996,170.50210901,34.05635459911793,Waimate,Waitaki,EDUCATION
Featherston,Kahutara,-999,-999,12,-999,-999,-999,12,-999,-999,-999,24,Featherston,-41.11610965,175.32429671,Kahutara,-41.33273164,175.08046255,31.56036798879817,South Wairarapa,South Wairarapa,EDUCATION
Kaiwaka,Warkworth West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaiwaka,-36.20144738,174.41954369,Warkworth West,-36.38893228,174.65160073,29.447091697387943,Kaipara,Rodney,EDUCATION
Ohai-Nightcaps,Gladstone (Invercargill City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Ohai-Nightcaps,-45.89093509,168.02614043,Gladstone (Invercargill City),-46.39213483,168.35330059,61.16576823347801,Southland,Invercargill,EDUCATION
Silverstream (Upper Hutt City),Wellington University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,33,Silverstream (Upper Hutt City),-41.15226988,175.00981756,Wellington University,-41.289084,174.7676253,25.333044916181056,Upper Hutt,Wellington,EDUCATION
Kahutara,Martinborough,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,Kahutara,-41.33273164,175.08046255,Martinborough,-41.21981971,175.45862537,34.004657725360346,South Wairarapa,South Wairarapa,EDUCATION
Tokorangi,Palmerston North Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tokorangi,-40.12383342,175.549708,Palmerston North Central,-40.35537702,175.61010962,26.251974494175833,Manawatu,Palmerston North,EDUCATION
Cockle Bay,Albany Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Cockle Bay,-36.89765568,174.94328238,Albany Central,-36.72820186,174.70483518,28.383533774689997,Manukau,Waitakere,EDUCATION
Manuherikia-Ida Valleys,Alexandra South,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,12,Manuherikia-Ida Valleys,-45.0524266,169.7255609,Alexandra South,-45.25210421,169.37578541,35.28877865537143,Central Otago,Central Otago,EDUCATION
Morrinsville East,Hamilton East Village,-999,-999,-999,-999,-999,-999,15,9,-999,-999,30,Morrinsville East,-37.64774647,175.53612606,Hamilton East Village,-37.79028168,175.29324653,26.6003142190692,Matamata-Piako,Hamilton,EDUCATION
