id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W1706,Puhoi Valley,Quay Street-Customs Street,PUBLIC_BUS,6,WORK,Puhoi Valley,-36.46850912,174.62475233,Quay Street-Customs Street,-36.84601989,174.77646293,44.104799220616464,Rodney,Waitakere,Auckland,Auckland
W1708,Te Kuru,Quay Street-Customs Street,PUBLIC_BUS,6,WORK,Te Kuru,-36.60344402,174.48396116,Quay Street-Customs Street,-36.84601989,174.77646293,37.51199994203978,Rodney,Waitakere,Auckland,Auckland
W1716,Orewa North,Quay Street-Customs Street,PUBLIC_BUS,9,WORK,Orewa North,-36.58108865,174.67586463,Quay Street-Customs Street,-36.84601989,174.77646293,30.793533411356968,Rodney,Waitakere,Auckland,Auckland
W1719,Orewa Central,Quay Street-Customs Street,PUBLIC_BUS,6,WORK,Orewa Central,-36.58726477,174.69445280000005,Quay Street-Customs Street,-36.84601989,174.77646293,29.686311701573075,Rodney,Waitakere,Auckland,Auckland
W1720,Millwater North,Quay Street-Customs Street,PUBLIC_BUS,27,WORK,Millwater North,-36.601498299999996,174.67227556,Quay Street-Customs Street,-36.84601989,174.77646293,28.731474525964828,Rodney,Waitakere,Auckland,Auckland
W1721,Millwater South,Quay Street-Customs Street,PUBLIC_BUS,18,WORK,Millwater South,-36.61231012,174.67000848,Quay Street-Customs Street,-36.84601989,174.77646293,27.66492316170856,Rodney,Waitakere,Auckland,Auckland
W1726,Red Beach East,Quay Street-Customs Street,PUBLIC_BUS,12,WORK,Red Beach East,-36.60592118,174.70488989,Quay Street-Customs Street,-36.84601989,174.77646293,27.44921707011177,Rodney,Waitakere,Auckland,Auckland
W1729,Vipond,Quay Street-Customs Street,PUBLIC_BUS,6,WORK,Vipond,-36.61796366,174.7180399,Quay Street-Customs Street,-36.84601989,174.77646293,25.887649474758746,Rodney,Waitakere,Auckland,Auckland
W1731,Stanmore Bay West,Quay Street-Customs Street,PUBLIC_BUS,9,WORK,Stanmore Bay West,-36.62300197,174.72724226,Quay Street-Customs Street,-36.84601989,174.77646293,25.18337798684652,Rodney,Waitakere,Auckland,Auckland
W1742,Gulf Harbour North,Quay Street-Customs Street,PUBLIC_BUS,6,WORK,Gulf Harbour North,-36.60949658,174.79413674,Quay Street-Customs Street,-36.84601989,174.77646293,26.347316169433345,Rodney,Waitakere,Auckland,Auckland
