id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W1739,Tindalls-Matakatia,Quay Street-Customs Street,FERRY,6,EDUCATION,Tindalls-Matakatia,-36.61663904,174.77704003,Quay Street-Customs Street,-36.84601989,174.77646293,25.506038639502037,Rodney,Waitakere,Auckland,Auckland
W1742,Gulf Harbour North,Quay Street-Customs Street,FERRY,21,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Quay Street-Customs Street,-36.84601989,174.77646293,26.347316169433345,Rodney,Waitakere,Auckland,Auckland
W1745,Army Bay,Quay Street-Customs Street,FERRY,9,EDUCATION,Army Bay,-36.60509803,174.82325733,Quay Street-Customs Street,-36.84601989,174.77646293,27.111969899505766,Rodney,Waitakere,Auckland,Auckland
W2039,Oneroa East-Palm Beach,Quay Street-Customs Street,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Quay Street-Customs Street,-36.84601989,174.77646293,25.64304420144819,Auckland,Waitakere,Auckland,Auckland
W2053,Ostend,Quay Street-Customs Street,FERRY,9,EDUCATION,Ostend,-36.79263832,175.05220466,Quay Street-Customs Street,-36.84601989,174.77646293,25.252609033378164,Auckland,Waitakere,Auckland,Auckland
W2074,Onetangi,Quay Street-Customs Street,FERRY,12,EDUCATION,Onetangi,-36.79584373,175.07839806,Quay Street-Customs Street,-36.84601989,174.77646293,27.44912715147734,Auckland,Waitakere,Auckland,Auckland
W3195,Gulf Harbour North,Wynyard-Viaduct,FERRY,15,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Wynyard-Viaduct,-36.843309399999995,174.75788827,26.198741756764413,Rodney,Waitakere,Auckland,Auckland
W3489,Oneroa East-Palm Beach,Wynyard-Viaduct,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Wynyard-Viaduct,-36.843309399999995,174.75788827,27.14989362676351,Auckland,Waitakere,Auckland,Auckland
W3502,Ostend,Wynyard-Viaduct,FERRY,12,EDUCATION,Ostend,-36.79263832,175.05220466,Wynyard-Viaduct,-36.843309399999995,174.75788827,26.797980392383998,Auckland,Waitakere,Auckland,Auckland
W3527,Waiheke East,Wynyard-Viaduct,FERRY,6,EDUCATION,Waiheke East,-36.79798055,175.12796937,Wynyard-Viaduct,-36.843309399999995,174.75788827,33.32547234331552,Auckland,Waitakere,Auckland,Auckland
W3571,Maraetai,Wynyard-Viaduct,FERRY,6,EDUCATION,Maraetai,-36.88774867,175.03797111,Wynyard-Viaduct,-36.843309399999995,174.75788827,25.401711841870146,Manukau,Waitakere,Auckland,Auckland
W3653,Gulf Harbour North,Shortland Street,FERRY,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Shortland Street,-36.84736853,174.76823915,26.550659273978628,Rodney,Waitakere,Auckland,Auckland
W3656,Army Bay,Shortland Street,FERRY,9,EDUCATION,Army Bay,-36.60509803,174.82325733,Shortland Street,-36.84736853,174.76823915,27.38186040358205,Rodney,Waitakere,Auckland,Auckland
W3658,Gulf Harbour South,Shortland Street,FERRY,9,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Shortland Street,-36.84736853,174.76823915,25.049156781397176,Rodney,Waitakere,Auckland,Auckland
W3936,Oneroa East-Palm Beach,Shortland Street,FERRY,9,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Shortland Street,-36.84736853,174.76823915,26.387089924747205,Auckland,Waitakere,Auckland,Auckland
W3963,Onetangi,Shortland Street,FERRY,9,EDUCATION,Onetangi,-36.79584373,175.07839806,Shortland Street,-36.84736853,174.76823915,28.196110787158013,Auckland,Waitakere,Auckland,Auckland
W5212,Surfdale,Eden Terrace,FERRY,9,EDUCATION,Surfdale,-36.79613493,175.02985004,Eden Terrace,-36.86462613,174.75964083,25.22622097234701,Auckland,Waitakere,Auckland,Auckland
W5595,Ostend,Auckland-University,FERRY,12,EDUCATION,Ostend,-36.79263832,175.05220466,Auckland-University,-36.85143057,174.76906469,26.036816218688504,Auckland,Waitakere,Auckland,Auckland
W8112,Oneroa East-Palm Beach,Parnell West,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Parnell West,-36.85679261,174.77798053,25.885962132275573,Auckland,Waitakere,Auckland,Auckland
W8123,Ostend,Parnell West,FERRY,9,EDUCATION,Ostend,-36.79263832,175.05220466,Parnell West,-36.85679261,174.77798053,25.42936331999981,Auckland,Waitakere,Auckland,Auckland
W8141,Onetangi,Parnell West,FERRY,9,EDUCATION,Onetangi,-36.79584373,175.07839806,Parnell West,-36.85679261,174.77798053,27.58464241462782,Auckland,Waitakere,Auckland,Auckland
W9088,Gulf Harbour North,Queen Street,FERRY,12,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Queen Street,-36.84774104,174.76524972,26.6163700337956,Rodney,Waitakere,Auckland,Auckland
W9093,Gulf Harbour South,Queen Street,FERRY,18,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Queen Street,-36.84774104,174.76524972,25.118021239568023,Rodney,Waitakere,Auckland,Auckland
W9384,Oneroa East-Palm Beach,Queen Street,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Queen Street,-36.84774104,174.76524972,26.65387398328959,Auckland,Waitakere,Auckland,Auckland
W9398,Ostend,Queen Street,FERRY,6,EDUCATION,Ostend,-36.79263832,175.05220466,Queen Street,-36.84774104,174.76524972,26.267534619531652,Auckland,Waitakere,Auckland,Auckland
W9420,Onetangi,Queen Street,FERRY,9,EDUCATION,Onetangi,-36.79584373,175.07839806,Queen Street,-36.84774104,174.76524972,28.46500810760049,Auckland,Waitakere,Auckland,Auckland
W9426,Waiheke East,Queen Street,FERRY,12,EDUCATION,Waiheke East,-36.79798055,175.12796937,Queen Street,-36.84774104,174.76524972,32.756599137986484,Auckland,Waitakere,Auckland,Auckland
W9652,Gulf Harbour North,Hobson Ridge North,FERRY,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Hobson Ridge North,-36.84707104,174.76276914,26.56457442318769,Rodney,Waitakere,Auckland,Auckland
W9657,Gulf Harbour South,Hobson Ridge North,FERRY,6,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Hobson Ridge North,-36.84707104,174.76276914,25.0691012750588,Rodney,Waitakere,Auckland,Auckland
W9943,Oneroa East-Palm Beach,Hobson Ridge North,FERRY,12,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Hobson Ridge North,-36.84707104,174.76276914,26.84466540356451,Auckland,Waitakere,Auckland,Auckland
W9977,Onetangi,Hobson Ridge North,FERRY,6,EDUCATION,Onetangi,-36.79584373,175.07839806,Hobson Ridge North,-36.84707104,174.76276914,28.666482748623064,Auckland,Waitakere,Auckland,Auckland
W10795,Ostend,Grafton,FERRY,6,EDUCATION,Ostend,-36.79263832,175.05220466,Grafton,-36.86013178,174.76828549,26.361531368285274,Auckland,Waitakere,Auckland,Auckland
W11255,Gulf Harbour North,Victoria Park ,FERRY,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Victoria Park,-36.84857807,174.75659124,26.79439329881931,Rodney,Waitakere,Auckland,Auckland
W11547,Surfdale,Victoria Park ,FERRY,12,EDUCATION,Surfdale,-36.79613493,175.02985004,Victoria Park,-36.84857807,174.75659124,25.012369876698642,Auckland,Waitakere,Auckland,Auckland
W11602,Maraetai,Victoria Park ,FERRY,6,EDUCATION,Maraetai,-36.88774867,175.03797111,Victoria Park,-36.84857807,174.75659124,25.407093878763018,Manukau,Waitakere,Auckland,Auckland
W12956,Surfdale,Grey Lynn East,FERRY,6,EDUCATION,Surfdale,-36.79613493,175.02985004,Grey Lynn East,-36.86181959,174.75208551,25.778360487848506,Auckland,Waitakere,Auckland,Auckland
