id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W2,Kaitaia West,North Cape,DRIVE_OWN_VEHICLE,9,WORK,Kaitaia West,-35.12178170000001,173.26717397,North Cape,-34.50545276,172.77554997,81.92088293451681,Far North,Far North,Northland,Northland
W15,North Cape,Kaitaia West,DRIVE_OWN_VEHICLE,24,WORK,North Cape,-34.50545276,172.77554997,Kaitaia West,-35.12178170000001,173.26717397,81.92088293451681,Far North,Far North,Northland,Northland
W30,North Cape,Kaitaia East,DRIVE_OWN_VEHICLE,66,WORK,North Cape,-34.50545276,172.77554997,Kaitaia East,-35.10383477,173.26414302,80.10718123485246,Far North,Far North,Northland,Northland
W67,Rangaunu Harbour,Kaikohe,DRIVE_OWN_VEHICLE,9,WORK,Rangaunu Harbour,-34.91627744,173.13744282,Kaikohe,-35.40792422,173.79767516,81.18362660242556,Far North,Far North,Northland,Northland
W98,Rangaunu Harbour,Kerikeri Central,DRIVE_OWN_VEHICLE,12,WORK,Rangaunu Harbour,-34.91627744,173.13744282,Kerikeri Central,-35.22507309,173.95096304,81.61031890612324,Far North,Far North,Northland,Northland
W172,Kaitaia West,Kawakawa,DRIVE_OWN_VEHICLE,6,WORK,Kaitaia West,-35.12178170000001,173.26717397,Kawakawa,-35.37897674,174.07575504,78.79670320520236,Far North,Far North,Northland,Northland
W498,Otatara,Maromaku,DRIVE_OWN_VEHICLE,9,WORK,Otatara,-46.43520129,168.28791931,Maromaku,-35.47825535,174.14132759999995,1312.8245060635056,Invercargill,Far North,Southland,Northland
W1701,Cape Rodney,Quay Street-Customs Street,DRIVE_OWN_VEHICLE,6,WORK,Cape Rodney,-36.25433822,174.62638047,Quay Street-Customs Street,-36.84601989,174.77646293,67.14398219186215,Rodney,Waitakere,Auckland,Auckland
W1702,Wellsford,Quay Street-Customs Street,DRIVE_OWN_VEHICLE,9,WORK,Wellsford,-36.292848299999996,174.52152782,Quay Street-Customs Street,-36.84601989,174.77646293,65.58798849447409,Rodney,Waitakere,Auckland,Auckland
W3156,Cape Rodney,Wynyard-Viaduct,DRIVE_OWN_VEHICLE,6,WORK,Cape Rodney,-36.25433822,174.62638047,Wynyard-Viaduct,-36.843309399999995,174.75788827,66.53583536726931,Rodney,Waitakere,Auckland,Auckland
W3625,Cape Rodney,Shortland Street,DRIVE_OWN_VEHICLE,6,WORK,Cape Rodney,-36.25433822,174.62638047,Shortland Street,-36.84736853,174.76823915,67.14841709248357,Rodney,Waitakere,Auckland,Auckland
