id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W9,Kaitaia West,Rangaunu Harbour,PASSENGER_IN_VEHICLE,6,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Rangaunu Harbour,-34.91627744,173.13744282,25.72425126898446,Far North,Far North,Northland,Northland
W31,Rangaunu Harbour,Kaitaia East,PASSENGER_IN_VEHICLE,9,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia East,-35.10383477,173.26414302,23.834850779788407,Far North,Far North,Northland,Northland
W34,Ahipara,Kaitaia East,PASSENGER_IN_VEHICLE,6,EDUCATION,Ahipara,-35.15951697,173.16091938,Kaitaia East,-35.10383477,173.26414302,11.245083253119619,Far North,Far North,Northland,Northland
W37,Rangitihi,Kaitaia East,PASSENGER_IN_VEHICLE,6,EDUCATION,Rangitihi,-35.12785001,173.31122240000005,Kaitaia East,-35.10383477,173.26414302,5.046571525371737,Far North,Far North,Northland,Northland
W40,Herekino-Takahue,Kaitaia East,PASSENGER_IN_VEHICLE,6,EDUCATION,Herekino-Takahue,-35.18964254,173.37240745,Kaitaia East,-35.10383477,173.26414302,13.708926972266053,Far North,Far North,Northland,Northland
W64,Taemaro-Oruaiti,Taumarumaru,PASSENGER_IN_VEHICLE,6,EDUCATION,Taemaro-Oruaiti,-35.02535123,173.57890377,Taumarumaru,-34.99672682,173.50774402,7.220173614004296,Far North,Far North,Northland,Northland
W87,Ngapuhi,Kaikohe,PASSENGER_IN_VEHICLE,12,EDUCATION,Ngapuhi,-35.4228326,173.76534835,Kaikohe,-35.40792422,173.79767516,3.3659986960200716,Far North,Far North,Northland,Northland
W112,Lake Manuwai-Kapiro,Kerikeri Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kerikeri Central,-35.22507309,173.95096304,9.095869218805976,Far North,Far North,Northland,Northland
W115,Waipapa,Kerikeri Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Waipapa,-35.2099338,173.91841396,Kerikeri Central,-35.22507309,173.95096304,3.4024744549091137,Far North,Far North,Northland,Northland
W116,Puketotara,Kerikeri Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Puketotara,-35.25176279999999,173.90330753,Kerikeri Central,-35.22507309,173.95096304,5.247814723970481,Far North,Far North,Northland,Northland
W122,Puketona-Waitangi,Kerikeri Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Puketona-Waitangi,-35.27991822,174.00095246,Kerikeri Central,-35.22507309,173.95096304,7.602382083225976,Far North,Far North,Northland,Northland
W187,Matawaia-Taumarere,Kawakawa,PASSENGER_IN_VEHICLE,6,EDUCATION,Matawaia-Taumarere,-35.49406405,173.95266307,Kawakawa,-35.37897674,174.07575504,16.97433678803134,Far North,Far North,Northland,Northland
W267,Kaikohe,Lake Manuwai-Kapiro,PASSENGER_IN_VEHICLE,6,EDUCATION,Kaikohe,-35.40792422,173.79767516,Lake Manuwai-Kapiro,-35.18267324,173.86535013,25.788817745921673,Far North,Far North,Northland,Northland
W341,Haruru,Paihia,PASSENGER_IN_VEHICLE,9,EDUCATION,Haruru,-35.27932636,174.05921268,Paihia,-35.28609895,174.09311792,3.1683690303314087,Far North,Far North,Northland,Northland
W388,Matarau,Whangarei Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Matarau,-35.66728748,174.20987157,Whangarei Central,-35.72846995,174.32430322,12.371841060173596,Whangarei,Whangarei,Northland,Northland
W390,Kauri,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Kauri,-35.62944367,174.28665672,Whangarei Central,-35.72846995,174.32430322,11.524296190570615,Whangarei,Whangarei,Northland,Northland
W391,Maungatapere,Whangarei Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Maungatapere,-35.76206371,174.15473729,Whangarei Central,-35.72846995,174.32430322,15.75234482005794,Whangarei,Whangarei,Northland,Northland
W395,Kamo East,Whangarei Central,PASSENGER_IN_VEHICLE,15,EDUCATION,Kamo East,-35.67747272,174.30980246,Whangarei Central,-35.72846995,174.32430322,5.8198379796955395,Whangarei,Whangarei,Northland,Northland
W396,Granfield Reserve,Whangarei Central,PASSENGER_IN_VEHICLE,18,EDUCATION,Granfield Reserve,-35.69015065,174.29505823,Whangarei Central,-35.72846995,174.32430322,5.012745439983346,Whangarei,Whangarei,Northland,Northland
W397,Kamo Central,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Kamo Central,-35.68486255,174.30491552,Whangarei Central,-35.72846995,174.32430322,5.155238306013422,Whangarei,Whangarei,Northland,Northland
