SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Mangere Mascot,Rosebank Peninsula,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mangere Mascot,-36.97328531,174.80945421,Rosebank Peninsula,-36.88086056,174.67580445,15.708444964187667,Manukau,Waitakere,WORK
Bayview East,Grafton,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Bayview East,-36.76999591,174.71337437,Grafton,-36.86013178,174.76828549,11.151133369454737,Waitakere,Waitakere,WORK
Browns Bay South West,Devonport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Browns Bay South West,-36.72178932,174.72994649,Devonport,-36.82716648,174.79688282,13.146892502738938,Waitakere,Waitakere,WORK
Browns Bay South West,Ponsonby East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Browns Bay South West,-36.72178932,174.72994649,Ponsonby East,-36.85137951,174.74159318,14.447049600759476,Waitakere,Waitakere,WORK
Mangorei,Welbourn,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Mangorei,-39.18102935,174.06017628,Welbourn,-39.08571024,174.09311599999995,10.973180435380714,New Plymouth,New Plymouth,WORK
Rotoiti-Rotoehu,Kuirau,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Rotoiti-Rotoehu,-38.05706156,176.45805764,Kuirau,-38.13474084,176.24242829,20.7522955724275,Rotorua,Rotorua,WORK
Rolleston North East,Northcote (Christchurch City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rolleston North East,-43.59059543,172.39602587,Northcote (Christchurch City),-43.48988035,172.61871397,21.15667850881771,Selwyn,Christchurch,WORK
Glen Eden Woodglen,Eden Valley,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Glen Eden Woodglen,-36.9174767,174.64329812,Eden Valley,-36.87455582,174.75258367,10.826928962840963,Waitakere,Waitakere,WORK
Taieri,Maori Hill,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Taieri,-45.82713359,170.36633821,Maori Hill,-45.85777797,170.50064652,10.947613330372516,Dunedin,Dunedin,WORK
Greenhithe East,Quay Street-Customs Street,-999,12,-999,-999,12,-999,-999,-999,-999,-999,33,Greenhithe East,-36.7641032,174.68932537,Quay Street-Customs Street,-36.84601989,174.77646293,11.964738484882414,Waitakere,Waitakere,WORK
