id,SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
W1,Rangaunu Harbour,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Rangaunu Harbour,-34.91627744,173.13744282,North Cape,-34.50545276,172.77554997,56.40066999729132,Far North,Far North,Northland,Northland,WORK
W2,Kaitaia West,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaitaia West,-35.12178170000001,173.26717397,North Cape,-34.50545276,172.77554997,81.92088293451681,Far North,Far North,Northland,Northland,WORK
W3,North Cape,Rangaunu Harbour,-999,30,9,-999,-999,-999,-999,-999,-999,-999,42,North Cape,-34.50545276,172.77554997,Rangaunu Harbour,-34.91627744,173.13744282,56.40066999729132,Far North,Far North,Northland,Northland,WORK
W15,North Cape,Kaitaia West,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,North Cape,-34.50545276,172.77554997,Kaitaia West,-35.12178170000001,173.26717397,81.92088293451681,Far North,Far North,Northland,Northland,WORK
W29,Ngapuhi,Kaitaia West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngapuhi,-35.4228326,173.76534835,Kaitaia West,-35.12178170000001,173.26717397,56.266151222418344,Far North,Far North,Northland,Northland,WORK
W30,North Cape,Kaitaia East,-999,51,15,-999,-999,-999,-999,-999,-999,-999,69,North Cape,-34.50545276,172.77554997,Kaitaia East,-35.10383477,173.26414302,80.10718123485246,Far North,Far North,Northland,Northland,WORK
W45,Lake Manuwai-Kapiro,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kaitaia East,-35.10383477,173.26414302,55.36360363929956,Far North,Far North,Northland,Northland,WORK
W46,Waima Forest,Kaitaia East,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Waima Forest,-35.48716638,173.62952632,Kaitaia East,-35.10383477,173.26414302,54.00424474986414,Far North,Far North,Northland,Northland,WORK
W47,Kaikohe,Kaitaia East,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24,Kaikohe,-35.40792422,173.79767516,Kaitaia East,-35.10383477,173.26414302,59.077866919855616,Far North,Far North,Northland,Northland,WORK
W67,Rangaunu Harbour,Kaikohe,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Rangaunu Harbour,-34.91627744,173.13744282,Kaikohe,-35.40792422,173.79767516,81.18362660242556,Far North,Far North,Northland,Northland,WORK
W68,Kaitaia East,Kaikohe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia East,-35.10383477,173.26414302,Kaikohe,-35.40792422,173.79767516,59.077866919855616,Far North,Far North,Northland,Northland,WORK
W69,Kaitaia West,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia West,-35.12178170000001,173.26717397,Kaikohe,-35.40792422,173.79767516,57.724517966449326,Far North,Far North,Northland,Northland,WORK
W98,Rangaunu Harbour,Kerikeri Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Rangaunu Harbour,-34.91627744,173.13744282,Kerikeri Central,-35.22507309,173.95096304,81.61031890612324,Far North,Far North,Northland,Northland,WORK
W99,Karikari Peninsula,Kerikeri Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Karikari Peninsula,-34.99527816,173.37873836,Kerikeri Central,-35.22507309,173.95096304,57.984562178021704,Far North,Far North,Northland,Northland,WORK
W100,Kaitaia East,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia East,-35.10383477,173.26414302,Kerikeri Central,-35.22507309,173.95096304,63.872130406967315,Far North,Far North,Northland,Northland,WORK
W101,Kaitaia West,Kerikeri Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Kaitaia West,-35.12178170000001,173.26717397,Kerikeri Central,-35.22507309,173.95096304,63.2032188541463,Far North,Far North,Northland,Northland,WORK
W102,Rangitihi,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Rangitihi,-35.12785001,173.31122240000005,Kerikeri Central,-35.22507309,173.95096304,59.14153308527458,Far North,Far North,Northland,Northland,WORK
W103,Oruru-Parapara,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Oruru-Parapara,-35.03331749,173.46127559,Kerikeri Central,-35.22507309,173.95096304,49.37418557226578,Far North,Far North,Northland,Northland,WORK
W104,Taumarumaru,Kerikeri Central,-999,15,6,-999,-999,-999,-999,-999,-999,-999,24,Taumarumaru,-34.99672682,173.50774402,Kerikeri Central,-35.22507309,173.95096304,47.64532231290496,Far North,Far North,Northland,Northland,WORK
W105,Herekino-Takahue,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Herekino-Takahue,-35.18964254,173.37240745,Kerikeri Central,-35.22507309,173.95096304,52.71152554406455,Far North,Far North,Northland,Northland,WORK
W106,Peria,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Peria,-35.12407747,173.44813792,Kerikeri Central,-35.22507309,173.95096304,47.06166862502933,Far North,Far North,Northland,Northland,WORK
W151,Kaitaia East,Waipapa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia East,-35.10383477,173.26414302,Waipapa,-35.2099338,173.91841396,60.63874783210577,Far North,Far North,Northland,Northland,WORK
W152,Kaitaia West,Waipapa,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Kaitaia West,-35.12178170000001,173.26717397,Waipapa,-35.2099338,173.91841396,60.003981578216354,Far North,Far North,Northland,Northland,WORK
W154,Hokianga North,Waipapa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hokianga North,-35.36850897,173.33840098,Waipapa,-35.2099338,173.91841396,55.51782509028978,Far North,Far North,Northland,Northland,WORK
W172,Kaitaia West,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia West,-35.12178170000001,173.26717397,Kawakawa,-35.37897674,174.07575504,78.79670320520236,Far North,Far North,Northland,Northland,WORK
W206,Whakapaku,Inlets Far North District,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Whakapaku,-35.04987698,173.66299855,Inlets Far North District,-35.21850133,174.15824941,48.783308429308214,Far North,,Northland,,WORK
W333,Waima Forest,Paihia,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waima Forest,-35.48716638,173.62952632,Paihia,-35.28609895,174.09311792,47.60298319998061,Far North,Far North,Northland,Northland,WORK
W383,Ohaeawai-Waimate North,Whangarei Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Ohaeawai-Waimate North,-35.33520904,173.85992372,Whangarei Central,-35.72846995,174.32430322,60.646349512876434,Far North,Whangarei,Northland,Northland,WORK
W426,Kaipara Coastal,Whangarei Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaipara Coastal,-35.72900181,173.65124289,Whangarei Central,-35.72846995,174.32430322,60.75505575069115,Kaipara,Whangarei,Northland,Northland,WORK
W428,Dargaville,Whangarei Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Dargaville,-35.93920158,173.86524045,Whangarei Central,-35.72846995,174.32430322,47.556874150119036,Kaipara,Whangarei,Northland,Northland,WORK
W430,Otamatea (Kaipara District),Whangarei Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Otamatea (Kaipara District),-36.20622411,174.32331996,Whangarei Central,-35.72846995,174.32430322,53.12391247324318,Kaipara,Whangarei,Northland,Northland,WORK
W431,Mangawhai Rural,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Mangawhai Rural,-36.11738276,174.54557961,Whangarei Central,-35.72846995,174.32430322,47.614585998055105,Kaipara,Whangarei,Northland,Northland,WORK
W452,Kawakawa,Port-Limeburners,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa,-35.37897674,174.07575504,Port-Limeburners,-35.74927345,174.33075178,47.195251598541276,Far North,Whangarei,Northland,Northland,WORK
W495,Dargaville,Port-Limeburners,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Dargaville,-35.93920158,173.86524045,Port-Limeburners,-35.74927345,174.33075178,46.97434778147842,Kaipara,Whangarei,Northland,Northland,WORK
W498,Otatara,Maromaku,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Otatara,-46.43520129,168.28791931,Maromaku,-35.47825535,174.14132759999995,1312.8245060635056,Invercargill,Far North,Southland,Northland,WORK
W544,Waipu,Kauri,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Waipu,-36.03330412,174.45082085,Kauri,-35.62944367,174.28665672,47.28299927557593,Whangarei,Whangarei,Northland,Northland,WORK
W659,Otamatea (Kaipara District),Dargaville,-999,12,9,-999,-999,-999,-999,-999,-999,-999,21,Otamatea (Kaipara District),-36.20622411,174.32331996,Dargaville,-35.93920158,173.86524045,50.759815182787854,Kaipara,Kaipara,Northland,Northland,WORK
W660,Maungaturoto,Dargaville,-999,9,6,-999,-999,-999,-999,-999,-999,-999,15,Maungaturoto,-36.10952458,174.34693916,Dargaville,-35.93920158,173.86524045,47.278570118241355,Kaipara,Kaipara,Northland,Northland,WORK
W661,Kaiwaka,Dargaville,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaiwaka,-36.20144738,174.41954369,Dargaville,-35.93920158,173.86524045,57.72630855812443,Kaipara,Kaipara,Northland,Northland,WORK
W1112,Dargaville,Maungaturoto,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Dargaville,-35.93920158,173.86524045,Maungaturoto,-36.10952458,174.34693916,47.278570118241355,Kaipara,Kaipara,Northland,Northland,WORK
W1135,Kaipara Coastal,Ruawai-Matakohe,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Kaipara Coastal,-35.72900181,173.65124289,Ruawai-Matakohe,-36.08477059,174.14649781,59.62006275290742,Kaipara,Kaipara,Northland,Northland,WORK
W1236,Mangawhai Heads,North Harbour,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Mangawhai Heads,-36.09442027,174.58406666,North Harbour,-36.74630474,174.71502975,73.42728842100307,Kaipara,Waitakere,Northland,Auckland,WORK
