SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Rangaunu Harbour,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Rangaunu Harbour,-34.91627744,173.13744282,North Cape,-34.50545276,172.77554997,56.40066999729132,Far North,Far North,Northland,Northland,WORK
Kaitaia West,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaitaia West,-35.12178170000001,173.26717397,North Cape,-34.50545276,172.77554997,81.92088293451681,Far North,Far North,Northland,Northland,WORK
North Cape,Rangaunu Harbour,-999,30,9,-999,-999,-999,-999,-999,-999,-999,42,North Cape,-34.50545276,172.77554997,Rangaunu Harbour,-34.91627744,173.13744282,56.40066999729132,Far North,Far North,Northland,Northland,WORK
Ahipara,Rangaunu Harbour,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Ahipara,-35.15951697,173.16091938,Rangaunu Harbour,-34.91627744,173.13744282,27.131323162688922,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Rangaunu Harbour,-999,27,-999,6,-999,-999,-999,-999,-999,-999,39,Kaitaia West,-35.12178170000001,173.26717397,Rangaunu Harbour,-34.91627744,173.13744282,25.72425126898446,Far North,Far North,Northland,Northland,WORK
Rangitihi,Rangaunu Harbour,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Rangitihi,-35.12785001,173.31122240000005,Rangaunu Harbour,-34.91627744,173.13744282,28.352749145416972,Far North,Far North,Northland,Northland,WORK
Oruru-Parapara,Rangaunu Harbour,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Oruru-Parapara,-35.03331749,173.46127559,Rangaunu Harbour,-34.91627744,173.13744282,32.24822504808201,Far North,Far North,Northland,Northland,WORK
Taumarumaru,Rangaunu Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Taumarumaru,-34.99672682,173.50774402,Rangaunu Harbour,-34.91627744,173.13744282,34.91249001820793,Far North,Far North,Northland,Northland,WORK
Herekino-Takahue,Rangaunu Harbour,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Herekino-Takahue,-35.18964254,173.37240745,Rangaunu Harbour,-34.91627744,173.13744282,37.16734211871208,Far North,Far North,Northland,Northland,WORK
Peria,Rangaunu Harbour,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Peria,-35.12407747,173.44813792,Rangaunu Harbour,-34.91627744,173.13744282,36.52922547213912,Far North,Far North,Northland,Northland,WORK
